deal_key,company_key,channel_key,campaign_key,rep_key,stage_key,lost_reason_key,created_date_key,won_date_key,lost_date_key,mrr_usd,tcv_usd,dialer_hours_attributed,deal_age_days,is_won,is_lost,churn_date_key,is_churned,retained_months,churned_mrr
D0000017,C0045876,CH06,CMP005,R015,S04,LR01,20250829,0,20250919,0.0,0.0,0.0,21.0,0,1,0,0,,0.0
D0000018,C0038011,CH01,,R003,S01,LR05,20261117,0,20261202,0.0,0.0,2.58,15.0,0,1,0,0,,0.0
D0000019,C0046930,CH03,,R007,S07,LR14,20261112,20261118,0,1139.57,17300.62,0.0,6.0,1,0,0,0,12.0,0.0
D0000020,C0002923,CH01,,R011,S07,LR14,20251021,20251116,0,618.54,7129.84,4.55,26.0,1,0,0,0,12.0,0.0
D0000021,C0006568,CH01,,R007,S05,LR10,20241225,0,20250104,0.0,0.0,3.14,10.0,0,1,0,0,,0.0
D0000022,C0024792,CH08,,R014,S07,LR14,20240719,20240725,0,734.54,8645.41,0.0,6.0,1,0,0,0,12.0,0.0
D0000023,C0024160,CH05,,R006,S09,LR08,20261214,0,20261231,0.0,0.0,0.0,23.0,0,1,0,0,,0.0
D0000024,C0052018,CH01,,R012,S01,LR09,20251225,0,20260105,0.0,0.0,2.3,11.0,0,1,0,0,,0.0
D0000025,C0010613,CH01,,R006,S05,LR03,20240524,0,20240530,0.0,0.0,4.73,6.0,0,1,0,0,,0.0
D0000026,C0026515,CH01,,R002,S01,LR13,20260608,0,20260811,0.0,0.0,2.59,64.0,0,1,0,0,,0.0
D0000027,C0022220,CH01,,R007,S05,LR03,20240912,0,20241018,0.0,0.0,2.62,36.0,0,1,0,0,,0.0
D0000028,C0022068,CH03,,R012,S01,LR03,20250731,0,20250808,0.0,0.0,0.0,8.0,0,1,0,0,,0.0
D0000029,C0031974,CH01,,R005,S02,LR05,20250221,0,20250227,0.0,0.0,3.4,6.0,0,1,0,0,,0.0
D0000030,C0024497,CH05,,R001,S01,LR14,20250203,0,20250312,0.0,0.0,0.0,37.0,0,1,0,0,,0.0
D0000031,C0031045,CH04,,R008,S01,LR02,20250425,0,20250618,0.0,0.0,0.0,54.0,0,1,0,0,,0.0
D0000032,C0030820,CH01,,R010,S02,LR08,20240815,0,20240915,0.0,0.0,3.87,31.0,0,1,0,0,,0.0
D0000033,C0010229,CH01,,R012,S04,LR01,20260213,0,20260228,0.0,0.0,2.63,15.0,0,1,0,0,,0.0
D0000034,C0028633,CH05,,R011,S04,LR01,20250402,0,20250421,0.0,0.0,0.0,19.0,0,1,0,0,,0.0
D0000035,C0002170,CH04,,R007,S07,LR14,20240430,20240512,0,416.74,5967.48,0.0,12.0,1,0,0,0,12.0,0.0
D0000036,C0020549,CH01,,R009,S05,LR03,20260925,0,20261008,0.0,0.0,4.47,13.0,0,1,0,0,,0.0
D0000037,C0054486,CH06,CMP007,R001,S05,LR02,20251006,0,20251208,0.0,0.0,0.0,63.0,0,1,0,0,,0.0
D0000038,C0001768,CH01,,R015,S05,LR02,20240729,0,20240819,0.0,0.0,2.64,21.0,0,1,0,0,,0.0
D0000039,C0008435,CH01,,R013,S05,LR04,20260827,0,20261011,0.0,0.0,3.78,45.0,0,1,0,0,,0.0
D0000040,C0002097,CH01,,R013,S02,LR08,20240916,0,20241105,0.0,0.0,2.54,50.0,0,1,0,0,,0.0
D0000041,C0039164,CH03,,R003,S07,LR14,20250304,20250311,0,783.63,8493.69,0.0,7.0,1,0,20250609,1,3.0,783.63
D0000042,C0011742,CH01,,R004,S01,LR03,20251114,0,20251122,0.0,0.0,3.68,8.0,0,1,0,0,,0.0
D0000043,C0023999,CH01,,R014,S02,LR14,20250307,0,20250327,0.0,0.0,4.46,20.0,0,1,0,0,,0.0
D0000044,C0020276,CH01,,R009,S04,LR01,20250603,0,20250627,0.0,0.0,3.16,24.0,0,1,0,0,,0.0
D0000045,C0002965,CH01,,R004,S04,LR01,20240422,0,20240504,0.0,0.0,2.37,12.0,0,1,0,0,,0.0
D0000046,C0015210,CH01,,R001,S01,LR05,20240327,0,20240424,0.0,0.0,4.9,28.0,0,1,0,0,,0.0
D0000047,C0043599,CH03,,R002,S07,LR14,20240809,20240820,0,651.0,6867.41,0.0,11.0,1,0,0,0,12.0,0.0
D0000048,C0034884,CH02,,R012,S08,LR14,20260714,20260717,0,517.07,6588.24,0.0,3.0,1,0,0,0,12.0,0.0
D0000049,C0033757,CH02,,R011,S07,LR14,20251009,20251020,0,396.43,4123.8,0.0,11.0,1,0,0,0,12.0,0.0
D0000050,C0031210,CH01,,R001,S01,LR08,20250522,0,20250606,0.0,0.0,3.11,15.0,0,1,0,0,,0.0
D0000051,C0038263,CH07,CMP004,R010,S07,LR14,20260520,20260525,0,633.01,6653.2,0.0,5.0,1,0,0,0,12.0,0.0
D0000052,C0040328,CH06,CMP001,R014,S01,LR04,20240208,0,20240216,0.0,0.0,0.0,8.0,0,1,0,0,,0.0
D0000053,C0020103,CH01,,R015,S04,LR01,20251204,0,20251228,0.0,0.0,3.32,24.0,0,1,0,0,,0.0
D0000054,C0008077,CH01,,R005,S01,LR06,20241104,0,20241125,0.0,0.0,2.62,21.0,0,1,0,0,,0.0
D0000055,C0021434,CH02,,R006,S08,LR14,20241217,20241222,0,868.73,12774.82,0.0,5.0,1,0,0,0,12.0,0.0
D0000056,C0046008,CH01,,R005,S05,LR05,20240507,0,20240514,0.0,0.0,4.0,7.0,0,1,0,0,,0.0
D0000057,C0044500,CH10,,R009,S04,LR01,20260611,0,20260616,0.0,0.0,6.62,5.0,0,1,0,0,,0.0
D0000058,C0008717,CH07,CMP008,R011,S02,LR04,20240125,0,20240212,0.0,0.0,0.0,18.0,0,1,0,0,,0.0
D0000059,C0040897,CH02,,R002,S07,LR14,20250515,20250521,0,1061.76,16351.06,0.0,6.0,1,0,0,0,12.0,0.0
D0000060,C0047506,CH10,,R012,S04,LR01,20240725,0,20241014,0.0,0.0,3.56,81.0,0,1,0,0,,0.0
D0000061,C0005591,CH01,,R014,S02,LR02,20250128,0,20250216,0.0,0.0,4.09,19.0,0,1,0,0,,0.0
D0000062,C0008904,CH01,,R010,S04,LR01,20240802,0,20240824,0.0,0.0,2.51,22.0,0,1,0,0,,0.0
D0000063,C0017655,CH01,,R006,S07,LR14,20260828,20260905,0,856.55,12539.23,3.42,8.0,1,0,0,0,12.0,0.0
D0000064,C0013203,CH02,,R014,S07,LR14,20260422,20260505,0,732.67,9317.29,0.0,13.0,1,0,0,0,12.0,0.0
D0000065,C0052693,CH01,,R011,S05,LR05,20240612,0,20240629,0.0,0.0,4.21,17.0,0,1,0,0,,0.0
D0000066,C0032414,CH01,,R006,S04,LR01,20260728,0,20260812,0.0,0.0,4.49,15.0,0,1,0,0,,0.0
D0000067,C0028164,CH08,,R001,S07,LR14,20240805,20240813,0,1176.12,17281.44,0.0,8.0,1,0,0,0,12.0,0.0
D0000068,C0012879,CH01,,R008,S02,LR02,20260218,0,20260309,0.0,0.0,3.6,19.0,0,1,0,0,,0.0
D0000069,C0014525,CH03,,R012,S07,LR14,20240422,20240429,0,1169.64,13175.04,0.0,7.0,1,0,20250325,1,11.0,1169.64
D0000070,C0027807,CH01,,R003,S01,LR09,20240219,0,20240224,0.0,0.0,2.51,5.0,0,1,0,0,,0.0
D0000071,C0020342,CH01,,R010,S05,LR05,20241017,0,20250109,0.0,0.0,2.66,84.0,0,1,0,0,,0.0
D0000072,C0001493,CH01,,R004,S01,LR04,20260119,0,20260119,0.0,0.0,2.56,0.0,0,1,0,0,,0.0
D0000073,C0033412,CH07,CMP002,R011,S05,LR04,20251222,0,20260111,0.0,0.0,0.0,20.0,0,1,0,0,,0.0
D0000074,C0051924,CH01,,R014,S04,LR01,20260722,0,20260803,0.0,0.0,3.08,12.0,0,1,0,0,,0.0
D0000075,C0009970,CH01,,R006,S09,LR05,20251104,0,20251212,0.0,0.0,2.35,38.0,0,1,0,0,,0.0
D0000076,C0043227,CH01,,R007,S09,LR02,20261118,0,20261231,0.0,0.0,4.04,57.0,0,1,0,0,,0.0
D0000077,C0000403,CH01,,R015,S01,LR05,20260915,0,20261002,0.0,0.0,4.17,17.0,0,1,0,0,,0.0
D0000078,C0039554,CH01,,R007,S01,LR06,20250307,0,20250312,0.0,0.0,2.61,5.0,0,1,0,0,,0.0
D0000079,C0030506,CH01,,R006,S01,LR04,20240418,0,20240430,0.0,0.0,4.56,12.0,0,1,0,0,,0.0
D0000080,C0058175,CH01,,R008,S04,LR01,20251127,0,20260125,0.0,0.0,4.13,59.0,0,1,0,0,,0.0
D0000081,C0027342,CH04,,R005,S08,LR14,20241007,20241031,0,1150.17,11518.34,0.0,24.0,1,0,20250529,1,7.0,1150.17
D0000082,C0058729,CH05,,R008,S02,LR05,20261110,0,20261129,0.0,0.0,0.0,19.0,0,1,0,0,,0.0
D0000083,C0049268,CH01,,R006,S02,LR11,20261111,0,20261126,0.0,0.0,3.72,15.0,0,1,0,0,,0.0
D0000084,C0033734,CH07,CMP004,R007,S05,LR06,20261224,0,20261231,0.0,0.0,0.0,15.0,0,1,0,0,,0.0
D0000085,C0000343,CH01,,R005,S05,LR04,20251103,0,20251115,0.0,0.0,2.36,12.0,0,1,0,0,,0.0
D0000086,C0049444,CH01,,R005,S05,LR11,20260312,0,20260320,0.0,0.0,3.88,8.0,0,1,0,0,,0.0
D0000087,C0025806,CH01,,R011,S01,LR02,20240920,0,20241013,0.0,0.0,2.78,23.0,0,1,0,0,,0.0
D0000088,C0018084,CH01,,R015,S07,LR14,20250321,20250430,0,1119.09,13127.07,3.57,40.0,1,0,0,0,12.0,0.0
D0000089,C0021774,CH06,CMP009,R012,S02,LR14,20240620,0,20240703,0.0,0.0,0.0,13.0,0,1,0,0,,0.0
D0000090,C0037001,CH04,,R014,S07,LR14,20250421,20250513,0,1213.91,16370.14,0.0,22.0,1,0,0,0,12.0,0.0
D0000091,C0017118,CH06,CMP003,R004,S04,LR01,20260304,0,20260429,0.0,0.0,0.0,56.0,0,1,0,0,,0.0
D0000092,C0025760,CH01,,R007,S01,LR04,20260605,0,20260615,0.0,0.0,4.65,10.0,0,1,0,0,,0.0
D0000093,C0002168,CH01,,R013,S05,LR02,20241029,0,20241122,0.0,0.0,2.39,24.0,0,1,0,0,,0.0
D0000094,C0025281,CH06,CMP007,R001,S01,LR03,20240307,0,20240318,0.0,0.0,0.0,11.0,0,1,0,0,,0.0
D0000095,C0013029,CH01,,R005,S01,LR07,20240619,0,20240702,0.0,0.0,4.17,13.0,0,1,0,0,,0.0
D0000096,C0001757,CH01,,R009,S05,LR09,20250219,0,20250311,0.0,0.0,4.44,20.0,0,1,0,0,,0.0
D0000097,C0051953,CH03,,R009,S07,LR14,20250908,20250910,0,233.36,2831.56,0.0,2.0,1,0,0,0,12.0,0.0
D0000098,C0039948,CH08,,R009,S08,LR14,20250310,20250313,0,412.8,4523.87,0.0,3.0,1,0,0,0,12.0,0.0
D0000099,C0029881,CH01,,R012,S04,LR01,20260724,0,20260729,0.0,0.0,3.63,5.0,0,1,0,0,,0.0
D0000100,C0010252,CH01,,R004,S07,LR14,20241203,20250209,0,1196.74,15180.63,2.27,68.0,1,0,0,0,12.0,0.0
D0000101,C0033782,CH03,,R012,S07,LR14,20251106,20251127,0,604.7,9045.16,0.0,21.0,1,0,0,0,12.0,0.0
D0000102,C0039898,CH01,,R002,S08,LR14,20240503,20240703,0,220.1,3476.85,3.5,61.0,1,0,0,0,12.0,0.0
D0000103,C0041187,CH01,,R003,S04,LR01,20251127,0,20251220,0.0,0.0,4.02,23.0,0,1,0,0,,0.0
D0000104,C0010688,CH01,,R006,S04,LR01,20260804,0,20260805,0.0,0.0,3.27,1.0,0,1,0,0,,0.0
D0000105,C0011382,CH01,,R001,S01,LR03,20240326,0,20240409,0.0,0.0,4.65,14.0,0,1,0,0,,0.0
D0000106,C0009307,CH04,,R004,S07,LR14,20260824,20260925,0,678.2,7766.06,0.0,32.0,1,0,0,0,12.0,0.0
D0000107,C0014031,CH05,,R005,S05,LR02,20260520,0,20260617,0.0,0.0,0.0,28.0,0,1,0,0,,0.0
D0000108,C0054699,CH01,,R012,S04,LR01,20260826,0,20260913,0.0,0.0,2.8,18.0,0,1,0,0,,0.0
D0000109,C0002409,CH04,,R001,S07,LR14,20250526,20250606,0,436.84,6445.45,0.0,11.0,1,0,0,0,12.0,0.0
D0000110,C0058828,CH02,,R003,S07,LR14,20240821,20240829,0,195.91,2759.48,0.0,8.0,1,0,0,0,12.0,0.0
D0000111,C0059660,CH06,CMP003,R009,S05,LR14,20250529,0,20250630,0.0,0.0,0.0,32.0,0,1,0,0,,0.0
D0000112,C0048809,CH01,,R003,S02,LR14,20240930,0,20241112,0.0,0.0,4.41,43.0,0,1,0,0,,0.0
D0000113,C0005550,CH06,CMP003,R004,S05,LR04,20250310,0,20250318,0.0,0.0,0.0,8.0,0,1,0,0,,0.0
D0000114,C0010691,CH03,,R011,S07,LR14,20260220,20260223,0,298.53,3504.93,0.0,3.0,1,0,0,0,12.0,0.0
D0000115,C0019193,CH05,,R011,S01,LR05,20261102,0,20261123,0.0,0.0,0.0,21.0,0,1,0,0,,0.0
D0000116,C0039486,CH01,,R012,S01,LR08,20260424,0,20260526,0.0,0.0,4.31,32.0,0,1,0,0,,0.0
D0000117,C0035309,CH01,,R006,S01,LR02,20250717,0,20250808,0.0,0.0,3.26,22.0,0,1,0,0,,0.0
D0000118,C0019130,CH02,,R004,S07,LR14,20240621,20240623,0,201.34,2323.58,0.0,2.0,1,0,0,0,12.0,0.0
D0000119,C0044149,CH01,,R002,S07,LR14,20240409,20240621,0,641.31,7474.44,3.23,73.0,1,0,0,0,12.0,0.0
D0000120,C0034640,CH02,,R009,S07,LR14,20260820,20260908,0,396.22,4582.52,0.0,19.0,1,0,0,0,12.0,0.0
D0000121,C0012524,CH02,,R013,S02,LR04,20260930,0,20261005,0.0,0.0,0.0,5.0,0,1,0,0,,0.0
D0000122,C0000538,CH01,,R012,S01,LR02,20261118,0,20261129,0.0,0.0,3.65,11.0,0,1,0,0,,0.0
D0000123,C0017187,CH01,,R006,S02,LR12,20240628,0,20240711,0.0,0.0,4.28,13.0,0,1,0,0,,0.0
D0000124,C0025600,CH01,,R006,S02,LR04,20241126,0,20241128,0.0,0.0,3.83,2.0,0,1,0,0,,0.0
D0000125,C0038509,CH01,,R010,S07,LR14,20261106,20261231,0,1373.31,16964.47,2.1,81.0,1,0,20261231,1,3.0,1373.31
D0000126,C0030387,CH08,,R009,S07,LR14,20260309,20260320,0,1339.16,14186.3,0.0,11.0,1,0,20261231,1,10.0,1339.16
D0000127,C0017776,CH10,,R007,S04,LR01,20251117,0,20251231,0.0,0.0,3.27,44.0,0,1,0,0,,0.0
D0000128,C0038208,CH01,,R003,S02,LR14,20260303,0,20260313,0.0,0.0,4.53,10.0,0,1,0,0,,0.0
D0000129,C0004227,CH01,,R006,S01,LR03,20260916,0,20261005,0.0,0.0,2.93,19.0,0,1,0,0,,0.0
D0000130,C0036281,CH07,CMP002,R005,S05,LR05,20250822,0,20250823,0.0,0.0,0.0,1.0,0,1,0,0,,0.0
D0000131,C0035437,CH01,,R003,S01,LR08,20250723,0,20250825,0.0,0.0,2.83,33.0,0,1,0,0,,0.0
D0000132,C0021283,CH01,,R009,S02,LR08,20260915,0,20260917,0.0,0.0,2.67,2.0,0,1,0,0,,0.0
D0000133,C0011255,CH01,,R012,S02,LR02,20250822,0,20251017,0.0,0.0,4.14,56.0,0,1,0,0,,0.0
D0000134,C0040446,CH01,,R005,S01,LR03,20240919,0,20240928,0.0,0.0,3.89,9.0,0,1,0,0,,0.0
D0000135,C0033718,CH01,,R003,S07,LR14,20260508,20260513,0,809.84,10278.21,4.42,5.0,1,0,0,0,12.0,0.0
D0000136,C0003095,CH01,,R006,S05,LR07,20260402,0,20260425,0.0,0.0,2.93,23.0,0,1,0,0,,0.0
D0000137,C0023969,CH01,,R014,S01,LR04,20250912,0,20250921,0.0,0.0,4.95,9.0,0,1,0,0,,0.0
D0000138,C0053859,CH01,,R010,S01,LR04,20241216,0,20250114,0.0,0.0,2.63,29.0,0,1,0,0,,0.0
D0000139,C0034878,CH01,,R004,S01,LR08,20250826,0,20250901,0.0,0.0,2.45,6.0,0,1,0,0,,0.0
D0000140,C0045047,CH05,,R013,S01,LR05,20260109,0,20260118,0.0,0.0,0.0,9.0,0,1,0,0,,0.0
D0000141,C0048164,CH01,,R005,S05,LR12,20251014,0,20251023,0.0,0.0,2.08,9.0,0,1,0,0,,0.0
D0000142,C0035898,CH01,,R003,S04,LR01,20240208,0,20240307,0.0,0.0,2.35,28.0,0,1,0,0,,0.0
D0000143,C0050128,CH01,,R009,S01,LR09,20240110,0,20240116,0.0,0.0,2.8,6.0,0,1,0,0,,0.0
D0000144,C0048014,CH01,,R007,S09,LR03,20250228,0,20250315,0.0,0.0,3.76,15.0,0,1,0,0,,0.0
D0000145,C0027154,CH01,,R005,S07,LR14,20250530,20250610,0,1157.72,11655.46,3.91,11.0,1,0,0,0,12.0,0.0
D0000146,C0027050,CH06,CMP005,R006,S02,LR12,20260219,0,20260227,0.0,0.0,0.0,8.0,0,1,0,0,,0.0
D0000147,C0019809,CH07,CMP006,R013,S09,LR13,20241213,0,20250121,0.0,0.0,0.0,39.0,0,1,0,0,,0.0
D0000148,C0017178,CH08,,R013,S08,LR14,20240408,20240418,0,741.74,7650.68,0.0,10.0,1,0,0,0,12.0,0.0
D0000149,C0042736,CH01,,R010,S02,LR02,20260821,0,20260828,0.0,0.0,2.77,7.0,0,1,0,0,,0.0
D0000150,C0056658,CH01,,R001,S09,LR04,20260122,0,20260130,0.0,0.0,3.62,8.0,0,1,0,0,,0.0
D0000151,C0043696,CH01,,R001,S05,LR05,20240805,0,20240915,0.0,0.0,2.82,41.0,0,1,0,0,,0.0
D0000152,C0058529,CH01,,R002,S04,LR01,20250731,0,20250906,0.0,0.0,4.45,37.0,0,1,0,0,,0.0
D0000153,C0050781,CH06,CMP001,R003,S01,LR03,20240723,0,20240814,0.0,0.0,0.0,22.0,0,1,0,0,,0.0
D0000154,C0026605,CH01,,R015,S02,LR10,20260123,0,20260218,0.0,0.0,2.49,26.0,0,1,0,0,,0.0
D0000155,C0059450,CH01,,R005,S05,LR02,20250808,0,20250815,0.0,0.0,3.35,7.0,0,1,0,0,,0.0
D0000156,C0015805,CH08,,R007,S07,LR14,20260806,20260813,0,650.03,8467.81,0.0,7.0,1,0,0,0,12.0,0.0
D0000157,C0047058,CH01,,R007,S08,LR14,20250625,20250630,0,219.63,3127.01,4.33,5.0,1,0,0,0,12.0,0.0
D0000158,C0005348,CH01,,R012,S01,LR03,20260924,0,20260928,0.0,0.0,2.24,4.0,0,1,0,0,,0.0
D0000159,C0013939,CH01,,R004,S04,LR01,20250219,0,20250310,0.0,0.0,4.96,19.0,0,1,0,0,,0.0
D0000160,C0044197,CH08,,R014,S07,LR14,20260402,20260407,0,1259.67,19377.49,0.0,5.0,1,0,0,0,12.0,0.0
D0000161,C0049782,CH07,CMP002,R001,S02,LR05,20250728,0,20250731,0.0,0.0,0.0,3.0,0,1,0,0,,0.0
D0000162,C0059682,CH01,,R002,S04,LR01,20260602,0,20260615,0.0,0.0,4.24,13.0,0,1,0,0,,0.0
D0000163,C0048841,CH01,,R014,S04,LR01,20240619,0,20240704,0.0,0.0,2.79,15.0,0,1,0,0,,0.0
D0000164,C0053457,CH01,,R005,S01,LR04,20261209,0,20261220,0.0,0.0,3.95,11.0,0,1,0,0,,0.0
D0000165,C0016812,CH01,,R012,S02,LR03,20260309,0,20260322,0.0,0.0,2.94,13.0,0,1,0,0,,0.0
D0000166,C0013070,CH01,,R010,S01,LR09,20240611,0,20240624,0.0,0.0,2.14,13.0,0,1,0,0,,0.0
D0000167,C0029284,CH07,CMP008,R009,S09,LR14,20240802,0,20240822,0.0,0.0,0.0,20.0,0,1,0,0,,0.0
D0000168,C0051329,CH02,,R002,S07,LR14,20240403,20240428,0,1016.86,14985.29,0.0,25.0,1,0,20250222,1,10.0,1016.86
D0000169,C0018240,CH05,,R009,S07,LR14,20260824,20260914,0,988.44,12077.29,0.0,21.0,1,0,0,0,12.0,0.0
D0000170,C0057624,CH01,,R006,S05,LR11,20260514,0,20260528,0.0,0.0,2.39,14.0,0,1,0,0,,0.0
D0000171,C0046627,CH07,CMP004,R009,S09,LR06,20250530,0,20250622,0.0,0.0,0.0,23.0,0,1,0,0,,0.0
D0000172,C0003073,CH02,,R013,S07,LR14,20251030,20251113,0,183.58,2464.94,0.0,14.0,1,0,20260211,1,3.0,183.58
D0000173,C0008337,CH07,CMP010,R001,S02,LR02,20240103,0,20240117,0.0,0.0,0.0,14.0,0,1,0,0,,0.0
D0000174,C0041677,CH01,,R007,S04,LR01,20250527,0,20250613,0.0,0.0,2.36,17.0,0,1,0,0,,0.0
D0000175,C0039944,CH01,,R008,S02,LR08,20240314,0,20240407,0.0,0.0,3.71,24.0,0,1,0,0,,0.0
D0000176,C0025572,CH03,,R014,S09,LR06,20240621,0,20240703,0.0,0.0,0.0,12.0,0,1,0,0,,0.0
D0000177,C0006254,CH01,,R013,S01,LR08,20250804,0,20250815,0.0,0.0,3.95,11.0,0,1,0,0,,0.0
D0000178,C0010195,CH05,,R007,S07,LR14,20260528,20260622,0,550.67,7514.24,0.0,25.0,1,0,0,0,12.0,0.0
D0000179,C0014772,CH04,,R011,S07,LR14,20250410,20250420,0,988.13,14567.05,0.0,10.0,1,0,20260316,1,11.0,988.13
D0000180,C0022952,CH08,,R010,S05,LR05,20240808,0,20240815,0.0,0.0,0.0,7.0,0,1,0,0,,0.0
D0000181,C0024245,CH02,,R011,S02,LR02,20260122,0,20260131,0.0,0.0,0.0,9.0,0,1,0,0,,0.0
D0000182,C0000570,CH04,,R003,S07,LR14,20240311,20240322,0,1313.05,15037.64,0.0,11.0,1,0,0,0,12.0,0.0
D0000183,C0022269,CH01,,R011,S01,LR02,20240109,0,20240126,0.0,0.0,3.29,17.0,0,1,0,0,,0.0
D0000184,C0011380,CH01,,R007,S01,LR08,20250808,0,20250810,0.0,0.0,4.82,2.0,0,1,0,0,,0.0
D0000185,C0025355,CH01,,R005,S07,LR14,20260918,20260922,0,827.72,11897.1,4.0,4.0,1,0,20261231,1,6.0,827.72
D0000186,C0003526,CH01,,R015,S09,LR14,20260617,0,20260624,0.0,0.0,2.49,7.0,0,1,0,0,,0.0
D0000187,C0000679,CH06,CMP007,R010,S01,LR03,20240305,0,20240313,0.0,0.0,0.0,8.0,0,1,0,0,,0.0
D0000188,C0039799,CH03,,R011,S07,LR14,20241009,20241029,0,395.51,5707.81,0.0,20.0,1,0,0,0,12.0,0.0
D0000189,C0023221,CH01,,R007,S07,LR14,20251103,20251104,0,466.88,6153.51,4.79,1.0,1,0,20260304,1,4.0,466.88
D0000190,C0045001,CH01,,R003,S02,LR03,20260930,0,20261107,0.0,0.0,2.56,38.0,0,1,0,0,,0.0
D0000191,C0050838,CH08,,R004,S07,LR14,20260515,20260526,0,565.86,6832.47,0.0,11.0,1,0,0,0,12.0,0.0
D0000192,C0003888,CH08,,R009,S07,LR14,20240214,20240308,0,715.12,9105.44,0.0,23.0,1,0,0,0,12.0,0.0
D0000193,C0037287,CH01,,R005,S09,LR10,20260701,0,20260810,0.0,0.0,3.56,40.0,0,1,0,0,,0.0
D0000194,C0033095,CH01,,R013,S02,LR02,20250207,0,20250221,0.0,0.0,3.29,14.0,0,1,0,0,,0.0
D0000195,C0012883,CH06,CMP003,R002,S02,LR03,20240730,0,20241031,0.0,0.0,0.0,93.0,0,1,0,0,,0.0
D0000196,C0058058,CH01,,R011,S04,LR01,20240703,0,20240717,0.0,0.0,4.64,14.0,0,1,0,0,,0.0
D0000197,C0034322,CH04,,R009,S07,LR14,20241209,20241217,0,717.22,8787.35,0.0,8.0,1,0,0,0,12.0,0.0
D0000198,C0025521,CH01,,R005,S01,LR04,20261116,0,20261207,0.0,0.0,3.65,21.0,0,1,0,0,,0.0
D0000199,C0048254,CH01,,R004,S04,LR01,20241107,0,20241213,0.0,0.0,4.6,36.0,0,1,0,0,,0.0
D0000200,C0058976,CH07,CMP008,R013,S01,LR05,20250425,0,20250519,0.0,0.0,0.0,24.0,0,1,0,0,,0.0
D0000201,C0007501,CH01,,R014,S01,LR02,20250828,0,20250912,0.0,0.0,2.84,15.0,0,1,0,0,,0.0
D0000202,C0019915,CH01,,R012,S05,LR11,20250822,0,20250904,0.0,0.0,3.94,13.0,0,1,0,0,,0.0
D0000203,C0006230,CH01,,R010,S02,LR05,20261118,0,20261201,0.0,0.0,3.95,13.0,0,1,0,0,,0.0
D0000204,C0058017,CH01,,R010,S01,LR02,20260311,0,20260430,0.0,0.0,2.97,50.0,0,1,0,0,,0.0
D0000205,C0021841,CH01,,R014,S07,LR14,20250519,20250525,0,267.5,2706.1,4.03,6.0,1,0,20250823,1,3.0,267.5
D0000206,C0008748,CH01,,R003,S05,LR10,20241002,0,20241105,0.0,0.0,4.58,34.0,0,1,0,0,,0.0
D0000207,C0033298,CH01,,R005,S02,LR03,20250627,0,20250713,0.0,0.0,4.47,16.0,0,1,0,0,,0.0
D0000208,C0036628,CH01,,R002,S05,LR02,20261216,0,20261231,0.0,0.0,3.93,24.0,0,1,0,0,,0.0
D0000209,C0029252,CH06,CMP001,R013,S04,LR01,20240503,0,20240705,0.0,0.0,0.0,63.0,0,1,0,0,,0.0
