meeting_key,deal_key,company_key,channel_key,rep_key,meeting_date_key,meeting_status,no_show_flag,days_from_first_touch,days_to_close
M0000046,D0000046,C0015210,CH01,R001,20240329,Held,0,2.0,14.0
M0000047,D0000047,C0043599,CH03,R002,20240811,Held,0,2.0,5.0
M0000048,D0000048,C0034884,CH02,R012,20260716,Held,0,2.0,1.0
M0000049,D0000049,C0033757,CH02,R011,20251009,Held,0,0.0,6.0
M0000050,D0000050,C0031210,CH01,R001,20250522,Held,0,0.0,8.0
M0000051,D0000051,C0038263,CH07,R010,20260521,Held,0,1.0,2.0
M0000052,D0000052,C0040328,CH06,R014,20240208,Held,0,0.0,4.0
M0000053,D0000053,C0020103,CH01,R015,20251204,Cancelled,1,0.0,
M0000054,D0000054,C0008077,CH01,R005,20241105,Held,0,1.0,11.0
M0000055,D0000055,C0021434,CH02,R006,20241219,Held,0,2.0,2.0
M0000056,D0000056,C0046008,CH01,R005,20240507,Held,0,0.0,4.0
M0000057,D0000057,C0044500,CH10,R009,20260614,Cancelled,1,3.0,
M0000058,D0000058,C0008717,CH07,R011,20240126,Held,0,1.0,9.0
M0000059,D0000059,C0040897,CH02,R002,20250517,Held,0,2.0,2.0
M0000060,D0000060,C0047506,CH10,R012,20240725,Cancelled,1,0.0,
M0000061,D0000061,C0005591,CH01,R014,20250131,Held,0,3.0,9.0
M0000062,D0000062,C0008904,CH01,R010,20240805,Cancelled,1,3.0,
M0000063,D0000063,C0017655,CH01,R006,20260828,Held,0,0.0,4.0
M0000064,D0000064,C0013203,CH02,R014,20260425,Held,0,3.0,6.0
M0000065,D0000065,C0052693,CH01,R011,20240613,Held,0,1.0,9.0
M0000066,D0000066,C0032414,CH01,R006,20260731,Cancelled,1,3.0,
M0000067,D0000067,C0028164,CH08,R001,20240807,Held,0,2.0,3.0
M0000068,D0000068,C0012879,CH01,R008,20260219,Held,0,1.0,10.0
M0000069,D0000069,C0014525,CH03,R012,20240425,Held,0,3.0,2.0
M0000070,D0000070,C0027807,CH01,R003,20240222,Held,0,3.0,1.0
M0000071,D0000071,C0020342,CH01,R010,20241017,Held,0,0.0,46.0
M0000072,D0000072,C0001493,CH01,R004,20260119,Held,0,0.0,0.0
M0000073,D0000073,C0033412,CH07,R011,20251225,Held,0,3.0,9.0
M0000074,D0000074,C0051924,CH01,R014,20260725,Cancelled,1,3.0,
M0000075,D0000075,C0009970,CH01,R006,20251105,Held,0,1.0,20.0
M0000076,D0000076,C0043227,CH01,R007,20261121,Held,0,3.0,30.0
M0000077,D0000077,C0000403,CH01,R015,20260918,Held,0,3.0,8.0
M0000078,D0000078,C0039554,CH01,R007,20250310,Held,0,3.0,1.0
M0000079,D0000079,C0030506,CH01,R006,20240419,Held,0,1.0,6.0
M0000080,D0000080,C0058175,CH01,R008,20251129,Cancelled,1,2.0,
M0000081,D0000081,C0027342,CH04,R005,20241009,Held,0,2.0,12.0
M0000082,D0000082,C0058729,CH05,R008,20261110,Held,0,0.0,10.0
M0000083,D0000083,C0049268,CH01,R006,20261114,Held,0,3.0,7.0
M0000084,D0000084,C0033734,CH07,R007,20261224,Held,0,0.0,8.0
M0000085,D0000085,C0000343,CH01,R005,20251104,Held,0,1.0,6.0
M0000086,D0000086,C0049444,CH01,R005,20260314,Held,0,2.0,3.0
M0000087,D0000087,C0025806,CH01,R011,20240923,Held,0,3.0,11.0
M0000088,D0000088,C0018084,CH01,R015,20250321,Held,0,0.0,22.0
M0000089,D0000089,C0021774,CH06,R012,20240621,Held,0,1.0,7.0
M0000090,D0000090,C0037001,CH04,R014,20250422,Held,0,1.0,12.0
M0000091,D0000091,C0017118,CH06,R004,20260304,Cancelled,1,0.0,
M0000092,D0000092,C0025760,CH01,R007,20260608,Held,0,3.0,4.0
M0000093,D0000093,C0002168,CH01,R013,20241031,Held,0,2.0,12.0
M0000094,D0000094,C0025281,CH06,R001,20240308,Held,0,1.0,6.0
M0000095,D0000095,C0013029,CH01,R005,20240620,Held,0,1.0,7.0
M0000096,D0000096,C0001757,CH01,R009,20250221,Held,0,2.0,10.0
M0000097,D0000097,C0051953,CH03,R009,20250908,Held,0,0.0,1.0
M0000098,D0000098,C0039948,CH08,R009,20250313,Held,0,3.0,0.0
M0000099,D0000099,C0029881,CH01,R012,20260724,Cancelled,1,0.0,
M0000100,D0000100,C0010252,CH01,R004,20241205,Held,0,2.0,36.0
M0000101,D0000101,C0033782,CH03,R012,20251109,Held,0,3.0,10.0
M0000102,D0000102,C0039898,CH01,R002,20240503,Held,0,0.0,34.0
M0000103,D0000103,C0041187,CH01,R003,20251128,Cancelled,1,1.0,
M0000104,D0000104,C0010688,CH01,R006,20260804,Cancelled,1,0.0,
M0000105,D0000105,C0011382,CH01,R001,20240326,Held,0,0.0,8.0
M0000106,D0000106,C0009307,CH04,R004,20260825,Held,0,1.0,17.0
M0000107,D0000107,C0014031,CH05,R005,20260523,Held,0,3.0,14.0
M0000108,D0000108,C0054699,CH01,R012,20260829,Cancelled,1,3.0,
M0000109,D0000109,C0002409,CH04,R001,20250526,Held,0,0.0,6.0
M0000110,D0000110,C0058828,CH02,R003,20240822,Held,0,1.0,4.0
M0000111,D0000111,C0059660,CH06,R009,20250531,Held,0,2.0,16.0
M0000112,D0000112,C0048809,CH01,R003,20241002,Held,0,2.0,23.0
M0000113,D0000113,C0005550,CH06,R004,20250312,Held,0,2.0,3.0
M0000114,D0000114,C0010691,CH03,R011,20260220,Held,0,0.0,2.0
M0000115,D0000115,C0019193,CH05,R011,20261105,Held,0,3.0,10.0
M0000116,D0000116,C0039486,CH01,R012,20260426,Held,0,2.0,16.0
M0000117,D0000117,C0035309,CH01,R006,20250720,Held,0,3.0,10.0
M0000118,D0000118,C0019130,CH02,R004,20240622,Held,0,1.0,1.0
M0000119,D0000119,C0044149,CH01,R002,20240410,Held,0,1.0,40.0
M0000120,D0000120,C0034640,CH02,R009,20260821,Held,0,1.0,10.0
M0000121,D0000121,C0012524,CH02,R013,20261001,Held,0,1.0,2.0
M0000122,D0000122,C0000538,CH01,R012,20261118,Held,0,0.0,6.0
M0000123,D0000123,C0017187,CH01,R006,20240630,Held,0,2.0,6.0
M0000124,D0000124,C0025600,CH01,R006,20241127,Held,0,1.0,1.0
M0000125,D0000125,C0038509,CH01,R010,20261107,Held,0,1.0,44.0
M0000126,D0000126,C0030387,CH08,R009,20260312,Held,0,3.0,4.0
M0000127,D0000127,C0017776,CH10,R007,20251117,Cancelled,1,0.0,
M0000128,D0000128,C0038208,CH01,R003,20260303,Held,0,0.0,6.0
M0000129,D0000129,C0004227,CH01,R006,20260916,Held,0,0.0,10.0
M0000130,D0000130,C0036281,CH07,R005,20250822,Held,0,0.0,1.0
M0000131,D0000131,C0035437,CH01,R003,20250725,Held,0,2.0,17.0
M0000132,D0000132,C0021283,CH01,R009,20260916,Held,0,1.0,1.0
M0000133,D0000133,C0011255,CH01,R012,20250823,Held,0,1.0,30.0
M0000134,D0000134,C0040446,CH01,R005,20240922,Held,0,3.0,3.0
M0000135,D0000135,C0033718,CH01,R003,20260509,Held,0,1.0,2.0
M0000136,D0000136,C0003095,CH01,R006,20260402,Held,0,0.0,13.0
M0000137,D0000137,C0023969,CH01,R014,20250914,Held,0,2.0,4.0
M0000138,D0000138,C0053859,CH01,R010,20241218,Held,0,2.0,15.0
M0000139,D0000139,C0034878,CH01,R004,20250827,Held,0,1.0,3.0
M0000140,D0000140,C0045047,CH05,R013,20260110,Held,0,1.0,4.0
M0000141,D0000141,C0048164,CH01,R005,20251017,Held,0,3.0,3.0
M0000142,D0000142,C0035898,CH01,R003,20240211,Cancelled,1,3.0,
M0000143,D0000143,C0050128,CH01,R009,20240112,Held,0,2.0,2.0
M0000144,D0000144,C0048014,CH01,R007,20250301,Held,0,1.0,8.0
M0000145,D0000145,C0027154,CH01,R005,20250601,Held,0,2.0,5.0
M0000146,D0000146,C0027050,CH06,R006,20260221,Held,0,2.0,3.0
M0000147,D0000147,C0019809,CH07,R013,20241216,Held,0,3.0,20.0
M0000148,D0000148,C0017178,CH08,R013,20240408,Held,0,0.0,6.0
M0000149,D0000149,C0042736,CH01,R010,20260823,Held,0,2.0,3.0
M0000150,D0000150,C0056658,CH01,R001,20260122,Held,0,0.0,4.0
M0000151,D0000151,C0043696,CH01,R001,20240805,Held,0,0.0,23.0
M0000152,D0000152,C0058529,CH01,R002,20250802,Cancelled,1,2.0,
M0000153,D0000153,C0050781,CH06,R003,20240724,Held,0,1.0,12.0
M0000154,D0000154,C0026605,CH01,R015,20260123,Held,0,0.0,14.0
M0000155,D0000155,C0059450,CH01,R005,20250811,Held,0,3.0,2.0
M0000156,D0000156,C0015805,CH08,R007,20260809,Held,0,3.0,2.0
M0000157,D0000157,C0047058,CH01,R007,20250628,Held,0,3.0,1.0
M0000158,D0000158,C0005348,CH01,R012,20260924,Held,0,0.0,2.0
M0000159,D0000159,C0013939,CH01,R004,20250220,Cancelled,1,1.0,
M0000160,D0000160,C0044197,CH08,R014,20260404,Held,0,2.0,2.0
M0000161,D0000161,C0049782,CH07,R001,20250728,Held,0,0.0,2.0
M0000162,D0000162,C0059682,CH01,R002,20260605,Cancelled,1,3.0,
M0000163,D0000163,C0048841,CH01,R014,20240622,Cancelled,1,3.0,
M0000164,D0000164,C0053457,CH01,R005,20261211,Held,0,2.0,5.0
M0000165,D0000165,C0016812,CH01,R012,20260310,Held,0,1.0,7.0
M0000166,D0000166,C0013070,CH01,R010,20240614,Held,0,3.0,6.0
M0000167,D0000167,C0029284,CH07,R009,20240805,Held,0,3.0,9.0
M0000168,D0000168,C0051329,CH02,R002,20240404,Held,0,1.0,13.0
M0000169,D0000169,C0018240,CH05,R009,20260824,Held,0,0.0,12.0
M0000170,D0000170,C0057624,CH01,R006,20260517,Held,0,3.0,6.0
M0000171,D0000171,C0046627,CH07,R009,20250530,Held,0,0.0,13.0
M0000172,D0000172,C0003073,CH02,R013,20251030,Held,0,0.0,8.0
M0000173,D0000173,C0008337,CH07,R001,20240103,Held,0,0.0,8.0
M0000174,D0000174,C0041677,CH01,R007,20250527,Cancelled,1,0.0,
M0000175,D0000175,C0039944,CH01,R008,20240315,Held,0,1.0,13.0
M0000176,D0000176,C0025572,CH03,R014,20240622,Held,0,1.0,6.0
M0000177,D0000177,C0006254,CH01,R013,20250804,Held,0,0.0,6.0
M0000178,D0000178,C0010195,CH05,R007,20260530,Held,0,2.0,13.0
M0000179,D0000179,C0014772,CH04,R011,20250411,Held,0,1.0,5.0
M0000180,D0000180,C0022952,CH08,R010,20240808,Held,0,0.0,4.0
M0000181,D0000181,C0024245,CH02,R011,20260122,Held,0,0.0,5.0
M0000182,D0000182,C0000570,CH04,R003,20240311,Held,0,0.0,6.0
M0000183,D0000183,C0022269,CH01,R011,20240111,Held,0,2.0,8.0
M0000184,D0000184,C0011380,CH01,R007,20250808,Held,0,0.0,1.0
M0000185,D0000185,C0025355,CH01,R005,20260919,Held,0,1.0,2.0
M0000186,D0000186,C0003526,CH01,R015,20260619,Held,0,2.0,3.0
M0000187,D0000187,C0000679,CH06,R010,20240306,Held,0,1.0,4.0
M0000188,D0000188,C0039799,CH03,R011,20241011,Held,0,2.0,10.0
M0000189,D0000189,C0023221,CH01,R007,20251103,Held,0,0.0,1.0
M0000190,D0000190,C0045001,CH01,R003,20261002,Held,0,2.0,20.0
M0000191,D0000191,C0050838,CH08,R004,20260515,Held,0,0.0,6.0
M0000192,D0000192,C0003888,CH08,R009,20240217,Held,0,3.0,11.0
M0000193,D0000193,C0037287,CH01,R005,20260701,Held,0,0.0,22.0
M0000194,D0000194,C0033095,CH01,R013,20250209,Held,0,2.0,7.0
M0000195,D0000195,C0012883,CH06,R002,20240802,Held,0,3.0,50.0
M0000196,D0000196,C0058058,CH01,R011,20240704,Cancelled,1,1.0,
M0000197,D0000197,C0034322,CH04,R009,20241210,Held,0,1.0,4.0
M0000198,D0000198,C0025521,CH01,R005,20261119,Held,0,3.0,10.0
M0000199,D0000199,C0048254,CH01,R004,20241110,Cancelled,1,3.0,
M0000200,D0000200,C0058976,CH07,R013,20250427,Held,0,2.0,12.0
M0000201,D0000201,C0007501,CH01,R014,20250829,Held,0,1.0,8.0
M0000202,D0000202,C0019915,CH01,R012,20250823,Held,0,1.0,7.0
M0000203,D0000203,C0006230,CH01,R010,20261118,Held,0,0.0,7.0
M0000204,D0000204,C0058017,CH01,R010,20260312,Held,0,1.0,27.0
M0000205,D0000205,C0021841,CH01,R014,20250520,Held,0,1.0,3.0
M0000206,D0000206,C0008748,CH01,R003,20241004,Held,0,2.0,18.0
M0000207,D0000207,C0033298,CH01,R005,20250628,Held,0,1.0,8.0
M0000208,D0000208,C0036628,CH01,R002,20261217,Held,0,1.0,13.0
M0000209,D0000209,C0029252,CH06,R013,20240503,Cancelled,1,0.0,
M0000210,D0000210,C0049066,CH04,R003,20250502,Held,0,1.0,16.0
M0000211,D0000211,C0034983,CH01,R015,20240606,Cancelled,1,0.0,
M0000212,D0000212,C0045340,CH02,R004,20260314,Held,0,1.0,6.0
M0000213,D0000213,C0020277,CH01,R005,20240909,Held,0,0.0,7.0
M0000214,D0000214,C0035268,CH06,R010,20250508,Held,0,0.0,17.0
M0000215,D0000215,C0011797,CH01,R013,20261217,Held,0,2.0,11.0
M0000216,D0000216,C0036823,CH01,R013,20250925,Held,0,1.0,18.0
M0000217,D0000217,C0021595,CH01,R013,20250207,Held,0,2.0,1.0
M0000218,D0000218,C0042053,CH08,R009,20250219,Held,0,2.0,7.0
M0000219,D0000219,C0045355,CH09,R010,20251016,Held,0,1.0,2.0
M0000220,D0000220,C0011258,CH01,R004,20241228,Held,0,1.0,26.0
M0000221,D0000221,C0005229,CH01,R008,20240321,Held,0,1.0,25.0
M0000222,D0000222,C0023513,CH01,R006,20241021,Held,0,3.0,18.0
M0000223,D0000223,C0043580,CH01,R014,20260630,Held,0,0.0,10.0
M0000224,D0000224,C0009779,CH08,R013,20251120,Held,0,0.0,6.0
M0000225,D0000225,C0024417,CH01,R003,20250821,Held,0,0.0,19.0
M0000226,D0000226,C0045824,CH01,R010,20260523,Held,0,3.0,34.0
M0000227,D0000227,C0055688,CH04,R004,20240601,Held,0,2.0,9.0
M0000228,D0000228,C0059120,CH02,R009,20260513,Held,0,0.0,5.0
M0000229,D0000229,C0056051,CH01,R003,20241016,Cancelled,1,1.0,
M0000230,D0000230,C0042259,CH01,R009,20250912,Held,0,3.0,11.0
M0000231,D0000231,C0027652,CH08,R005,20250527,Held,0,0.0,3.0
M0000232,D0000232,C0016872,CH05,R013,20260510,Held,0,2.0,24.0
M0000233,D0000233,C0012361,CH04,R009,20250823,Held,0,2.0,8.0
M0000234,D0000234,C0014240,CH04,R006,20260709,Held,0,3.0,12.0
M0000235,D0000235,C0020509,CH01,R011,20250411,Held,0,0.0,3.0
M0000236,D0000236,C0012994,CH05,R001,20261024,Held,0,2.0,21.0
M0000237,D0000237,C0030445,CH05,R015,20260811,Held,0,1.0,11.0
M0000238,D0000238,C0025415,CH01,R010,20240215,Held,0,0.0,7.0
M0000239,D0000239,C0047546,CH01,R015,20250124,Held,0,0.0,19.0
M0000240,D0000240,C0021822,CH01,R015,20250626,Held,0,1.0,3.0
M0000241,D0000241,C0055119,CH01,R009,20250209,Held,0,2.0,2.0
M0000242,D0000242,C0003698,CH01,R010,20241126,Held,0,0.0,7.0
M0000243,D0000243,C0007683,CH07,R009,20240916,Held,0,3.0,2.0
M0000244,D0000244,C0043355,CH01,R001,20240417,Held,0,1.0,1.0
M0000245,D0000245,C0036393,CH06,R007,20251121,Held,0,3.0,35.0
M0000246,D0000246,C0043457,CH01,R004,20251016,Cancelled,1,1.0,
M0000247,D0000247,C0034960,CH01,R009,20240209,Held,0,1.0,10.0
M0000248,D0000248,C0041590,CH01,R001,20260606,Held,0,2.0,20.0
M0000249,D0000249,C0014617,CH01,R002,20240125,Held,0,0.0,4.0
M0000250,D0000250,C0046415,CH06,R010,20260427,Held,0,3.0,13.0
M0000251,D0000251,C0035228,CH01,R008,20240804,Held,0,2.0,14.0
M0000252,D0000252,C0035477,CH06,R002,20240627,Held,0,1.0,21.0
M0000253,D0000253,C0001609,CH08,R013,20250724,Held,0,1.0,6.0
M0000254,D0000254,C0053649,CH01,R004,20240907,Held,0,2.0,9.0
M0000255,D0000255,C0042710,CH01,R002,20260401,Held,0,1.0,1.0
M0000256,D0000256,C0021699,CH01,R001,20260607,Held,0,2.0,31.0
M0000257,D0000257,C0019441,CH03,R013,20260423,Held,0,2.0,6.0
M0000258,D0000258,C0003724,CH04,R007,20251026,Held,0,3.0,2.0
M0000259,D0000259,C0023572,CH01,R012,20240415,Held,0,0.0,13.0
M0000260,D0000260,C0010022,CH01,R007,20250620,Cancelled,1,1.0,
M0000261,D0000261,C0028181,CH04,R008,20250104,Held,0,2.0,16.0
M0000262,D0000262,C0018014,CH03,R006,20251114,Held,0,3.0,4.0
M0000263,D0000263,C0034132,CH01,R008,20260126,Held,0,0.0,1.0
M0000264,D0000264,C0037797,CH01,R014,20250824,Held,0,3.0,1.0
M0000265,D0000265,C0038204,CH01,R006,20250919,Held,0,3.0,11.0
M0000266,D0000266,C0047110,CH01,R009,20250906,Cancelled,1,1.0,
M0000267,D0000267,C0035787,CH01,R014,20260819,Held,0,0.0,8.0
M0000268,D0000268,C0026506,CH01,R002,20251113,Held,0,2.0,4.0
M0000269,D0000269,C0050373,CH01,R005,20250120,Held,0,3.0,9.0
M0000270,D0000270,C0024829,CH01,R015,20240221,Held,0,1.0,2.0
M0000271,D0000271,C0000464,CH01,R003,20260613,Held,0,3.0,7.0
M0000272,D0000272,C0002846,CH01,R015,20250218,Cancelled,1,0.0,
M0000273,D0000273,C0035875,CH01,R008,20241106,Held,0,2.0,16.0
M0000274,D0000274,C0016558,CH03,R003,20250716,Held,0,2.0,5.0
M0000275,D0000275,C0004701,CH01,R003,20260315,Held,0,2.0,4.0
M0000276,D0000276,C0051398,CH08,R001,20250924,Held,0,1.0,1.0
M0000277,D0000277,C0028131,CH01,R005,20260327,Held,0,0.0,20.0
M0000278,D0000278,C0014647,CH01,R012,20251014,Cancelled,1,0.0,
M0000279,D0000279,C0012192,CH01,R008,20240709,Held,0,1.0,5.0
M0000280,D0000280,C0020826,CH01,R005,20260321,Held,0,2.0,4.0
M0000281,D0000281,C0029208,CH04,R013,20260625,Held,0,0.0,13.0
M0000282,D0000282,C0006194,CH01,R011,20250715,Held,0,1.0,4.0
M0000283,D0000283,C0050752,CH02,R003,20260501,Held,0,0.0,28.0
M0000284,D0000284,C0045274,CH10,R011,20250619,Held,0,0.0,5.0
M0000285,D0000285,C0020146,CH05,R008,20240128,Held,0,2.0,51.0
M0000286,D0000286,C0023596,CH07,R010,20250219,Held,0,2.0,20.0
M0000287,D0000287,C0041419,CH01,R006,20240925,Held,0,1.0,3.0
M0000288,D0000288,C0011174,CH02,R014,20251009,Held,0,2.0,13.0
M0000289,D0000289,C0030935,CH01,R010,20240314,Held,0,1.0,6.0
M0000290,D0000290,C0051512,CH02,R007,20240924,Held,0,0.0,7.0
M0000291,D0000291,C0059485,CH09,R001,20241019,Held,0,1.0,5.0
M0000292,D0000292,C0017126,CH01,R012,20240708,Held,0,0.0,9.0
M0000293,D0000293,C0028004,CH04,R005,20260423,Held,0,3.0,8.0
M0000294,D0000294,C0047064,CH01,R003,20260501,Held,0,2.0,16.0
M0000295,D0000295,C0019452,CH01,R008,20260417,Held,0,1.0,30.0
M0000296,D0000296,C0043904,CH01,R009,20250708,Held,0,0.0,25.0
M0000297,D0000297,C0025886,CH06,R009,20251028,Held,0,1.0,19.0
M0000298,D0000298,C0043957,CH10,R001,20240108,Cancelled,1,0.0,
M0000299,D0000299,C0051164,CH01,R005,20241213,Held,0,0.0,10.0
M0000300,D0000300,C0028303,CH04,R001,20250815,Held,0,3.0,15.0
M0000301,D0000301,C0035127,CH01,R013,20240601,Cancelled,1,1.0,
M0000302,D0000302,C0042139,CH05,R011,20260603,Held,0,2.0,32.0
M0000303,D0000303,C0011003,CH01,R002,20251024,Cancelled,1,1.0,
M0000304,D0000304,C0001324,CH01,R001,20260522,Held,0,1.0,11.0
M0000305,D0000305,C0043162,CH01,R007,20260808,Held,0,2.0,13.0
M0000306,D0000306,C0019269,CH08,R004,20240223,Held,0,1.0,3.0
M0000307,D0000307,C0007552,CH01,R006,20250518,Cancelled,1,3.0,
M0000308,D0000308,C0027797,CH01,R011,20240124,Held,0,0.0,4.0
M0000309,D0000309,C0023116,CH01,R011,20240922,Held,0,3.0,10.0
M0000310,D0000310,C0000288,CH01,R007,20261221,Held,0,3.0,21.0
M0000311,D0000311,C0031620,CH01,R005,20250310,Cancelled,1,3.0,
M0000312,D0000312,C0040379,CH01,R015,20240310,Cancelled,1,2.0,
M0000313,D0000313,C0051851,CH01,R008,20260902,Held,0,0.0,52.0
M0000314,D0000314,C0041935,CH04,R007,20260912,Held,0,3.0,4.0
M0000315,D0000315,C0019832,CH01,R009,20260614,Cancelled,1,2.0,
M0000316,D0000316,C0029880,CH07,R009,20251011,Held,0,2.0,14.0
M0000317,D0000317,C0001510,CH01,R010,20260426,Held,0,3.0,21.0
M0000318,D0000318,C0039254,CH01,R001,20260102,Held,0,0.0,20.0
M0000319,D0000319,C0053269,CH07,R008,20250831,Held,0,2.0,5.0
M0000320,D0000320,C0042958,CH01,R010,20250327,Held,0,2.0,3.0
M0000321,D0000321,C0047452,CH04,R013,20240726,Held,0,2.0,14.0
M0000322,D0000322,C0001374,CH04,R002,20260926,Held,0,1.0,2.0
M0000323,D0000323,C0044583,CH04,R010,20240912,Held,0,2.0,11.0
M0000324,D0000324,C0041575,CH09,R007,20260506,Held,0,1.0,4.0
M0000325,D0000325,C0032887,CH01,R013,20240831,Held,0,1.0,14.0
M0000326,D0000326,C0032098,CH01,R013,20250829,Held,0,0.0,4.0
M0000327,D0000327,C0036596,CH03,R008,20261106,Held,0,1.0,8.0
M0000328,D0000328,C0032513,CH01,R001,20240315,Held,0,1.0,11.0
M0000329,D0000329,C0023049,CH05,R008,20250308,Held,0,3.0,14.0
M0000330,D0000330,C0018993,CH01,R009,20260430,Held,0,1.0,7.0
M0000331,D0000331,C0032543,CH03,R008,20240208,Held,0,0.0,4.0
M0000332,D0000332,C0024050,CH05,R002,20250827,Held,0,2.0,9.0
M0000333,D0000333,C0050095,CH01,R006,20251111,Held,0,1.0,6.0
M0000334,D0000334,C0014086,CH01,R002,20261126,Held,0,3.0,20.0
M0000335,D0000335,C0014934,CH02,R004,20241119,Held,0,0.0,3.0
M0000336,D0000336,C0034982,CH01,R002,20250717,Held,0,3.0,24.0
M0000337,D0000337,C0012253,CH05,R015,20250212,Held,0,0.0,9.0
M0000338,D0000338,C0027435,CH06,R012,20260928,Held,0,0.0,2.0
M0000339,D0000339,C0029398,CH04,R005,20240102,Held,0,1.0,3.0
M0000340,D0000340,C0027259,CH01,R006,20250122,Cancelled,1,0.0,
M0000341,D0000341,C0011217,CH04,R011,20240712,Held,0,3.0,3.0
M0000342,D0000342,C0026917,CH01,R008,20260607,Cancelled,1,2.0,
M0000343,D0000343,C0040741,CH10,R007,20260206,Cancelled,1,1.0,
M0000344,D0000344,C0059884,CH01,R010,20260925,Held,0,2.0,23.0
M0000345,D0000345,C0006984,CH08,R015,20240912,Held,0,1.0,1.0
M0000346,D0000346,C0035089,CH01,R002,20241218,Held,0,2.0,20.0
M0000347,D0000347,C0019680,CH01,R006,20260607,Held,0,3.0,16.0
M0000348,D0000348,C0010716,CH01,R014,20250810,Cancelled,1,3.0,
M0000349,D0000349,C0005996,CH03,R010,20250626,Held,0,1.0,4.0
M0000350,D0000350,C0013027,CH04,R007,20240617,Held,0,0.0,2.0
M0000351,D0000351,C0025638,CH01,R015,20260227,Cancelled,1,0.0,
M0000352,D0000352,C0019872,CH01,R015,20260526,Held,0,1.0,4.0
M0000353,D0000353,C0005271,CH01,R009,20240302,Held,0,2.0,6.0
M0000354,D0000354,C0032475,CH01,R006,20261123,Cancelled,1,0.0,
M0000355,D0000355,C0058341,CH05,R015,20261122,Held,0,2.0,12.0
