cvr,company_name,company_form,industry_nace,region,founded_year,employee_band,vat_frequency,has_subsidiaries,uses_target_software
DK11367109,SoeData A/S,IVS,56100,Midtjylland,2019,1-4,Half-yearly,False,1
DK58860586,MarkVaerk A/S,ApS,70220,Hovedstaden,1996,1-4,Monthly,False,1
DK84130703,NordSystem Holding ApS,ENK,70220,Midtjylland,2002,0,Quarterly,False,0
DK79893550,VestKonsult A/S,ENK,69200,Midtjylland,1992,10-19,Quarterly,False,0
DK27846820,MaaneHandel ApS,A_S,41200,Hovedstaden,2004,0,Monthly,False,0
DK70501641,MarkRaad Holding ApS,ApS,70220,Midtjylland,2024,0,Quarterly,False,1
DK34795975,SkovLogistik ApS,ENK,62010,Midtjylland,1995,1-4,Monthly,False,1
DK15840168,AaaVaerk IVS,A_S,62010,Midtjylland,2013,5-9,Quarterly,False,1
DK16087559,NordStudio Holding ApS,ENK,68203,Nordjylland,2007,5-9,Half-yearly,False,0
DK77759721,SydData IVS,ApS,49410,Hovedstaden,2023,5-9,Quarterly,False,0
DK32223509,AaaHuset A/S,ApS,56100,Nordjylland,2011,0,Quarterly,False,0
DK41640344,KlintByg Holding ApS,ApS,63110,Midtjylland,2012,1-4,Quarterly,False,1
DK72163487,EngService A/S,ApS,68203,Midtjylland,2018,0,Monthly,False,1
DK87945283,MaaneLabs ApS,Holding,85590,Midtjylland,1994,1-4,Quarterly,True,0
DK20465288,FjordHuset ApS,ApS,56100,Hovedstaden,2015,5-9,Quarterly,False,1
DK69363131,SkovBogholderi Holding ApS,ApS,70220,Syddanmark,2008,10-19,Quarterly,False,1
DK89099287,EngByg Holding ApS,ApS,63110,Hovedstaden,2004,5-9,Quarterly,False,1
DK74488616,KlippeKonsulent A/S,ApS,62010,Hovedstaden,2007,5-9,Quarterly,False,1
DK37264586,KlintRegnskab A/S,ApS,49410,Hovedstaden,2017,5-9,Quarterly,False,1
DK57284823,MaaneRen IVS,A_S,71121,Hovedstaden,2002,0,Quarterly,False,0
DK91805065,MarkLogistik A/S,ApS,62020,Syddanmark,2013,0,Monthly,False,0
DK61066591,SydTal ApS,ApS,69200,Nordjylland,2012,1-4,Quarterly,False,0
DK86221714,MarkSystem ApS,ENK,43210,Hovedstaden,2021,50+,Monthly,False,0
DK59900488,AaaLabs IVS,IVS,62020,Hovedstaden,2005,1-4,Quarterly,False,0
DK43337764,KlintTal A/S,A_S,01130,Hovedstaden,2011,1-4,Monthly,False,0
DK23947209,VestVaerk ApS,ApS,47990,Syddanmark,2006,0,Monthly,False,1
DK29294953,LynRegnskab Holding ApS,ApS,56100,Nordjylland,2006,1-4,Quarterly,False,0
DK85848604,BirkData ApS,ApS,70220,Syddanmark,2015,0,Quarterly,False,0
DK36826520,OestVaerk Holding ApS,ApS,43210,Syddanmark,2023,5-9,Monthly,False,1
DK81804206,KlintTal IVS,ApS,43210,Syddanmark,2017,0,Quarterly,False,1
DK61053095,OestKonsulent A/S,ApS,41200,Hovedstaden,2020,20-49,Quarterly,False,1
DK88192151,LynKontor A/S,ENK,62010,Hovedstaden,2017,5-9,Quarterly,False,1
DK55041406,KlintDesign Holding ApS,IVS,70220,Midtjylland,2006,0,Monthly,False,1
DK32440215,VestKontor ApS,ApS,62010,Hovedstaden,2010,1-4,Quarterly,False,1
DK66451371,SkovRen ApS,ENK,47410,Midtjylland,2009,5-9,Monthly,False,0
DK43153397,SoeKonsult Holding ApS,ApS,69200,Syddanmark,2008,5-9,Quarterly,False,1
DK82119934,MaaneData ApS,ApS,62020,Midtjylland,2002,1-4,Quarterly,False,1
DK37936148,BirkService ApS,ApS,62010,Midtjylland,1995,1-4,Quarterly,False,0
DK44976572,NordDesign A/S,ENK,43210,Nordjylland,1998,1-4,Half-yearly,False,0
DK24424523,NordService Holding ApS,ENK,62020,Syddanmark,2019,1-4,Quarterly,False,1
DK61356676,NordBogholderi IVS,A_S,49410,Nordjylland,2007,1-4,Quarterly,False,1
DK91715071,BirkAdvice ApS,A_S,43210,Syddanmark,2006,20-49,Quarterly,True,1
DK16520235,OestAdvice A/S,ENK,69200,Hovedstaden,2003,1-4,Monthly,False,0
DK80455199,VestHandel IVS,A_S,43210,Midtjylland,2003,10-19,Monthly,False,0
DK99169092,SydTal Holding ApS,ApS,62010,Midtjylland,2016,0,Half-yearly,False,1
DK89054445,OestHandel ApS,ENK,68203,Hovedstaden,2012,0,Monthly,False,0
DK14362424,KlippeLabs ApS,ApS,71121,Hovedstaden,2020,1-4,Half-yearly,False,1
DK29809141,KlintBogholderi IVS,ENK,85590,Hovedstaden,2015,1-4,Quarterly,False,1
DK38559086,HavTal A/S,ApS,62010,Sjaelland,2005,0,Quarterly,False,1
DK13440290,AaaVaerk A/S,ApS,71121,Midtjylland,2002,0,Half-yearly,False,0
DK93193278,StjerneHandel IVS,ApS,47410,Midtjylland,2009,0,Quarterly,False,0
DK92672689,VestData IVS,ApS,68203,Hovedstaden,2001,0,Quarterly,False,0
DK89996173,VestSystem Holding ApS,A_S,43210,Hovedstaden,1990,1-4,Monthly,False,1
DK82033932,MaaneRegnskab ApS,ApS,71121,Hovedstaden,2014,0,Quarterly,False,0
DK21936001,BjergStudio Holding ApS,ApS,63110,Sjaelland,1998,1-4,Monthly,False,1
DK59757577,EngStudio A/S,A_S,69200,Midtjylland,2008,0,Quarterly,False,0
DK13885784,SolMarked A/S,Holding,46900,Hovedstaden,2019,0,Quarterly,True,0
DK78640376,KlippeSmede A/S,Holding,70220,Midtjylland,1992,1-4,Monthly,True,0
DK25894779,SkyRaad ApS,ApS,62010,Hovedstaden,1994,5-9,Quarterly,False,1
DK35874665,SkyKonsult IVS,ApS,96020,Hovedstaden,1993,0,Quarterly,False,0
DK88136090,SydVaerk IVS,Holding,49410,Hovedstaden,2015,0,Monthly,True,1
DK68514659,SolByg A/S,A_S,62020,Nordjylland,2014,1-4,Quarterly,False,1
DK94107470,HavHandel IVS,ENK,46900,Hovedstaden,2001,1-4,Quarterly,False,1
DK72040316,NordKonsulent Holding ApS,ApS,62010,Syddanmark,1995,20-49,Half-yearly,False,0
DK97277028,SkyTek A/S,A_S,41200,Nordjylland,2001,1-4,Quarterly,False,1
DK99156228,MaaneDesign A/S,ApS,69200,Sjaelland,1997,1-4,Quarterly,False,1
DK65543434,FjordService ApS,ApS,41200,Midtjylland,2002,5-9,Quarterly,False,1
DK85580885,LynVaerk Holding ApS,A_S,47990,Syddanmark,1991,1-4,Monthly,False,0
DK98099330,KlippeRaad Holding ApS,ENK,85590,Syddanmark,1996,0,Quarterly,False,0
DK70961915,SolBogholderi ApS,ApS,62010,Hovedstaden,2019,0,Quarterly,False,1
DK66818606,SkovLogistik ApS,ENK,49410,Hovedstaden,2000,1-4,Quarterly,False,1
DK50018946,AaaStudio IVS,ApS,63110,Hovedstaden,2004,1-4,Quarterly,False,0
DK30471107,KlippeTal IVS,ApS,62010,Nordjylland,2009,1-4,Quarterly,False,1
DK16758044,BjergBogholderi Holding ApS,ApS,46900,Midtjylland,1993,1-4,Quarterly,False,1
DK25072531,SoeVaerk ApS,ApS,70220,Hovedstaden,2013,0,Half-yearly,False,0
DK84991557,SydStudio IVS,A_S,96020,Sjaelland,1996,1-4,Half-yearly,False,0
DK95447488,KlippeDesign ApS,A_S,86220,Midtjylland,2005,0,Monthly,False,0
DK85452839,SydData ApS,ENK,69200,Hovedstaden,2002,1-4,Monthly,False,1
DK83735852,NordData ApS,ApS,68203,Midtjylland,2018,1-4,Quarterly,False,1
DK79277855,FjordKontor Holding ApS,ENK,69200,Hovedstaden,2003,0,Quarterly,False,0
DK34192730,SkySmede Holding ApS,ApS,47410,Midtjylland,2003,20-49,Half-yearly,False,0
DK81641474,SkyRen Holding ApS,Holding,63110,Hovedstaden,1993,0,Half-yearly,True,1
DK64350436,SydHuset A/S,ApS,68203,Hovedstaden,2012,1-4,Quarterly,False,1
DK24109660,SkyHandel ApS,ApS,62020,Hovedstaden,2020,5-9,Quarterly,False,1
DK89263696,KlippeKonsult A/S,ApS,62010,Hovedstaden,2023,5-9,Quarterly,False,1
DK26585835,KlintHandel A/S,ApS,70220,Sjaelland,2003,1-4,Quarterly,False,1
DK51872972,KlippeHandel A/S,Holding,90030,Sjaelland,2010,1-4,Quarterly,True,0
DK88572781,BirkLogistik ApS,ApS,49410,Syddanmark,2008,5-9,Quarterly,False,1
DK55212789,KlippeByg A/S,Holding,47990,Midtjylland,2020,5-9,Half-yearly,True,0
DK54989349,SkyHuset IVS,ApS,49410,Syddanmark,2020,1-4,Quarterly,False,0
DK48883370,OestMarked Holding ApS,A_S,49410,Sjaelland,2022,1-4,Quarterly,False,1
DK89304877,HavData IVS,IVS,47410,Midtjylland,2006,5-9,Quarterly,False,1
DK32714457,HavRen IVS,ApS,69200,Midtjylland,2024,10-19,Half-yearly,False,0
DK88966703,MaaneKontor ApS,ENK,85590,Nordjylland,1996,0,Quarterly,False,0
DK27803148,OestSmede A/S,A_S,41200,Midtjylland,1994,1-4,Quarterly,False,0
DK24497830,SkyStudio ApS,IVS,70220,Syddanmark,2020,5-9,Monthly,False,1
DK51013034,BjergSystem ApS,Holding,62010,Hovedstaden,1990,0,Quarterly,True,0
DK24173458,VestTal IVS,ENK,47990,Midtjylland,2022,1-4,Quarterly,False,0
DK47200303,SoeLabs ApS,ApS,63110,Hovedstaden,1997,5-9,Monthly,False,1
DK47003781,SkovTal IVS,ApS,68203,Nordjylland,2022,0,Quarterly,False,0
DK88432150,MarkLabs A/S,ApS,63110,Syddanmark,1993,1-4,Half-yearly,False,1
DK23781079,LynService A/S,ENK,62020,Midtjylland,1990,0,Quarterly,False,0
DK49560104,HavKontor A/S,ApS,96020,Midtjylland,2006,1-4,Quarterly,False,0
DK30247142,SydDesign IVS,ApS,62020,Hovedstaden,2022,5-9,Quarterly,False,1
DK65652633,BirkRen Holding ApS,ApS,62020,Sjaelland,2015,5-9,Quarterly,False,0
DK14088767,AaaRen IVS,IVS,43210,Hovedstaden,1990,0,Quarterly,False,0
DK81438695,EngTek Holding ApS,ApS,10710,Midtjylland,2004,10-19,Quarterly,False,0
DK33490549,FjordService IVS,ApS,62020,Hovedstaden,2002,50+,Quarterly,False,0
DK26522587,SolLabs A/S,ApS,69200,Nordjylland,2019,1-4,Quarterly,False,1
DK13665993,MarkMarked IVS,ENK,85590,Syddanmark,1996,5-9,Quarterly,False,1
DK28551723,SoeStudio ApS,ApS,68203,Syddanmark,1991,0,Quarterly,False,0
DK97207740,LynTal IVS,ApS,47410,Hovedstaden,1992,1-4,Quarterly,False,1
DK30944957,VestKontor IVS,ApS,62020,Nordjylland,1991,1-4,Quarterly,False,1
DK21065018,AaaAdvice ApS,ApS,62010,Midtjylland,2006,0,Half-yearly,False,0
DK70112279,HavData Holding ApS,ENK,63110,Hovedstaden,2007,1-4,Quarterly,False,0
DK31625610,VestHandel Holding ApS,ApS,62020,Hovedstaden,2002,10-19,Quarterly,False,0
DK69589268,LynSystem IVS,ApS,41200,Sjaelland,1992,10-19,Monthly,False,0
DK61774090,SoeRegnskab A/S,ApS,62020,Midtjylland,2015,5-9,Quarterly,False,1
DK42197094,StjerneLabs A/S,A_S,47410,Sjaelland,2011,1-4,Quarterly,False,0
DK64158300,BjergByg ApS,Holding,56100,Syddanmark,2023,5-9,Quarterly,True,1
DK39584554,MaaneService IVS,Holding,43210,Midtjylland,1996,10-19,Quarterly,True,0
DK31996273,MarkKontor IVS,Holding,62020,Sjaelland,2017,1-4,Monthly,True,1
DK84198248,EngData ApS,ApS,86220,Midtjylland,1993,0,Quarterly,False,0
DK33095506,StjerneRegnskab ApS,ApS,56100,Nordjylland,2004,5-9,Monthly,False,0
DK11489209,HavAdvice Holding ApS,ENK,47990,Hovedstaden,1993,0,Monthly,False,0
DK67763189,MaaneAdvice IVS,ApS,62020,Midtjylland,2024,10-19,Quarterly,False,1
DK30155817,SoeTal IVS,ENK,62020,Hovedstaden,1997,1-4,Quarterly,False,1
DK83642861,SkovStudio A/S,ApS,49410,Syddanmark,2014,0,Monthly,False,0
DK25534685,SkyByg A/S,ApS,70220,Nordjylland,2001,10-19,Quarterly,False,0
DK63980168,SoeRaad A/S,ApS,69200,Sjaelland,1994,1-4,Quarterly,False,1
DK94142318,HavDesign A/S,ApS,71121,Midtjylland,2017,10-19,Quarterly,False,1
DK38861223,BjergRegnskab IVS,ENK,41200,Midtjylland,1998,1-4,Monthly,False,0
DK19062053,KlippeAdvice A/S,ENK,68203,Midtjylland,2005,0,Quarterly,False,0
DK94791903,KlintLogistik IVS,ApS,69200,Syddanmark,1990,1-4,Quarterly,False,1
DK43187714,KlippeTek IVS,ENK,49410,Hovedstaden,2009,5-9,Monthly,False,0
DK66070500,KlippeRaad ApS,IVS,62010,Syddanmark,2000,0,Quarterly,False,0
DK48667609,SydVaerk ApS,ApS,46900,Midtjylland,1994,1-4,Quarterly,False,1
DK76590516,StjerneHandel A/S,A_S,41200,Sjaelland,2011,10-19,Quarterly,False,0
DK39163350,StjerneTek IVS,ApS,62010,Hovedstaden,2011,0,Quarterly,False,0
DK58841923,SoeHandel ApS,IVS,62020,Hovedstaden,2009,5-9,Half-yearly,False,1
DK45431265,SkyKontor A/S,IVS,70220,Sjaelland,2017,5-9,Monthly,False,1
DK64980079,VestKonsulent Holding ApS,ApS,68203,Midtjylland,2002,0,Monthly,False,0
DK53233263,StjerneHandel ApS,ENK,43210,Midtjylland,2005,10-19,Half-yearly,False,0
DK63197453,SkovLogistik Holding ApS,ApS,68203,Hovedstaden,1999,0,Quarterly,False,0
DK34113283,SolTek IVS,ApS,86220,Syddanmark,2013,5-9,Quarterly,False,0
DK45544018,VestKonsulent ApS,ApS,71121,Midtjylland,2019,1-4,Quarterly,False,1
DK61957971,FjordData A/S,A_S,85590,Syddanmark,2002,0,Quarterly,False,0
DK39433391,VestDesign A/S,ENK,62010,Syddanmark,2017,1-4,Quarterly,False,1
DK95678608,SydRegnskab IVS,ApS,62010,Midtjylland,2010,1-4,Quarterly,False,1
DK57366170,VestMarked A/S,ENK,96020,Midtjylland,2016,5-9,Monthly,False,0
DK75433552,MaaneBogholderi ApS,ApS,86220,Syddanmark,2004,0,Monthly,False,0
DK94280581,SkyRegnskab IVS,Holding,63110,Syddanmark,2024,5-9,Quarterly,True,1
DK18148994,EngByg IVS,ENK,46900,Syddanmark,1991,1-4,Quarterly,False,0
DK15032387,LynKonsult IVS,ApS,43210,Midtjylland,1999,0,Quarterly,False,0
DK33005838,BjergRen ApS,ENK,01130,Hovedstaden,2024,1-4,Quarterly,False,1
DK43384232,SkovDesign IVS,Holding,43210,Hovedstaden,2019,50+,Quarterly,True,0
DK29835529,OestHuset ApS,ApS,70220,Nordjylland,2004,0,Monthly,False,0
DK56584638,FjordTek IVS,ApS,70220,Syddanmark,1999,1-4,Quarterly,False,1
DK22787374,LynBogholderi A/S,ApS,70220,Hovedstaden,2012,1-4,Quarterly,False,1
DK68696073,KlippeBogholderi ApS,ApS,41200,Nordjylland,2020,0,Half-yearly,False,0
DK49629335,BjergKontor A/S,ApS,01130,Hovedstaden,2018,1-4,Monthly,False,0
DK93365497,SkovTek Holding ApS,ApS,71121,Nordjylland,2019,0,Quarterly,False,0
DK16482631,KlippeKonsult Holding ApS,A_S,63110,Midtjylland,2011,1-4,Quarterly,False,0
DK64250610,SkovService IVS,ApS,63110,Midtjylland,1998,5-9,Half-yearly,False,1
DK73222863,SkovAdvice Holding ApS,A_S,47990,Midtjylland,2015,1-4,Quarterly,False,1
DK33446566,MaaneLogistik ApS,ApS,86220,Nordjylland,2001,0,Quarterly,False,1
DK71717208,BjergData A/S,IVS,62010,Nordjylland,2000,5-9,Quarterly,False,1
DK55676401,MaaneKontor A/S,ApS,62010,Sjaelland,2022,5-9,Quarterly,False,1
DK90132219,BirkAdvice A/S,ENK,43210,Hovedstaden,2019,5-9,Quarterly,False,0
DK97238546,SkovVaerk IVS,ApS,62020,Nordjylland,2023,1-4,Quarterly,False,1
DK18630832,AaaKonsulent ApS,IVS,96020,Hovedstaden,2013,1-4,Quarterly,False,1
DK73348199,LynHandel Holding ApS,ENK,69200,Syddanmark,2008,1-4,Monthly,False,1
DK73464617,BjergRaad ApS,ApS,62020,Hovedstaden,1990,5-9,Quarterly,False,1
DK82159060,VestData ApS,A_S,49410,Hovedstaden,2023,1-4,Monthly,False,1
DK81720255,SydHandel Holding ApS,ENK,62020,Sjaelland,2017,1-4,Half-yearly,False,0
DK56399348,SkovStudio A/S,ENK,69200,Midtjylland,2015,10-19,Quarterly,False,0
DK57546323,MaaneData Holding ApS,ApS,62020,Hovedstaden,2010,0,Quarterly,False,0
DK57351575,NordKonsulent ApS,Holding,62010,Syddanmark,2024,1-4,Half-yearly,True,0
DK19041022,LynKonsulent IVS,ApS,62010,Hovedstaden,2010,1-4,Quarterly,False,1
DK34022383,LynTal ApS,ApS,62010,Hovedstaden,2010,0,Quarterly,False,0
DK93392894,OestService ApS,ENK,62020,Hovedstaden,1997,10-19,Quarterly,False,0
DK39467813,SkyBogholderi A/S,Holding,62010,Hovedstaden,1996,1-4,Half-yearly,True,1
DK21255761,VestSmede IVS,ApS,43210,Hovedstaden,1991,1-4,Quarterly,False,1
DK16275183,HavVaerk ApS,ApS,56100,Sjaelland,2019,0,Quarterly,False,0
DK73702125,VestService Holding ApS,ENK,70220,Hovedstaden,1990,1-4,Quarterly,False,0
DK50702839,BirkBogholderi ApS,ApS,69200,Nordjylland,1997,0,Quarterly,False,0
DK66932413,EngByg ApS,ENK,47410,Hovedstaden,2022,0,Monthly,False,0
DK58253032,KlintRegnskab Holding ApS,ApS,10710,Midtjylland,2016,1-4,Quarterly,False,0
DK10922082,KlintHuset Holding ApS,ApS,01130,Syddanmark,2017,0,Monthly,False,0
DK98282869,SkovVaerk IVS,ApS,62010,Hovedstaden,1998,1-4,Half-yearly,False,1
DK82587991,SkovLogistik A/S,A_S,62020,Midtjylland,2017,1-4,Quarterly,False,1
DK36257252,BirkAdvice Holding ApS,ApS,63110,Hovedstaden,2003,0,Half-yearly,False,1
DK37413671,BirkTal IVS,ApS,63110,Hovedstaden,2005,10-19,Quarterly,False,1
DK53941030,LynKontor A/S,A_S,43210,Hovedstaden,2013,0,Quarterly,False,1
DK86679603,SkovDesign ApS,ENK,70220,Midtjylland,2017,0,Quarterly,False,0
DK12619186,BirkHandel A/S,IVS,62010,Midtjylland,2001,5-9,Quarterly,False,0
DK24891367,BirkAdvice IVS,Holding,70220,Syddanmark,1994,0,Quarterly,True,0
DK69239273,SydRegnskab A/S,ApS,46900,Hovedstaden,2005,5-9,Quarterly,False,1
DK42255705,OestTek IVS,ENK,62010,Nordjylland,2019,1-4,Half-yearly,False,0
DK44661201,FjordSmede IVS,ApS,96020,Hovedstaden,1994,1-4,Quarterly,False,1
DK69295605,SolKonsulent IVS,ApS,62010,Syddanmark,2009,0,Quarterly,False,1
DK46303530,MarkLabs A/S,Holding,49410,Midtjylland,1999,0,Quarterly,True,0
DK64585524,BirkBogholderi A/S,ApS,62010,Hovedstaden,2020,50+,Monthly,False,1
