meeting_key,deal_key,company_key,rep_key,meeting_date_key,meeting_status,no_show_flag,days_from_create,days_to_close
M0000045,D0000045,C0097725,R015,20241202,Cancelled,1,0.0,
M0000046,D0000046,C0056979,R009,20260106,Held,0,1.0,11.0
M0000047,D0000047,C0066691,R014,20250916,Cancelled,1,0.0,
M0000048,D0000048,C0007141,R004,20240521,Held,0,0.0,29.0
M0000049,D0000049,C0075473,R010,20240814,Cancelled,1,0.0,
M0000050,D0000050,C0003654,R003,20260429,Cancelled,1,1.0,
M0000051,D0000051,C0069701,R004,20251119,Held,0,1.0,24.0
M0000052,D0000052,C0070128,R011,20250517,Cancelled,1,1.0,
M0000053,D0000053,C0029959,R011,20240709,Cancelled,1,1.0,
M0000054,D0000054,C0089426,R004,20250703,Cancelled,1,1.0,
M0000055,D0000055,C0048017,R002,20240406,Held,0,1.0,10.0
M0000056,D0000056,C0071813,R013,20240221,Cancelled,1,1.0,
M0000057,D0000057,C0015231,R004,20240311,Held,0,0.0,26.0
M0000058,D0000058,C0039632,R004,20240704,Cancelled,1,0.0,
M0000059,D0000059,C0026546,R001,20260710,Cancelled,1,0.0,
M0000060,D0000060,C0029337,R008,20250531,Cancelled,1,1.0,
M0000061,D0000061,C0075352,R006,20250830,Held,0,1.0,1.0
M0000062,D0000062,C0022181,R011,20260114,Held,0,1.0,21.0
M0000063,D0000063,C0072968,R007,20240905,Cancelled,1,1.0,
M0000064,D0000064,C0075858,R008,20251230,Held,0,0.0,16.0
M0000065,D0000065,C0036446,R008,20240126,Cancelled,1,0.0,
M0000066,D0000066,C0017691,R012,20251029,Cancelled,1,1.0,
M0000067,D0000067,C0045394,R014,20261118,Cancelled,1,0.0,
M0000068,D0000068,C0004318,R010,20240305,Cancelled,1,1.0,
M0000069,D0000069,C0049798,R008,20261230,Held,0,0.0,8.0
M0000070,D0000070,C0008732,R007,20250802,Held,0,1.0,7.0
M0000071,D0000071,C0037601,R009,20240327,Held,0,0.0,3.0
M0000072,D0000072,C0084413,R012,20250213,Cancelled,1,0.0,
M0000073,D0000073,C0024269,R015,20261118,Held,0,1.0,4.0
M0000074,D0000074,C0093038,R012,20250507,Cancelled,1,0.0,
M0000075,D0000075,C0080568,R015,20260904,Held,0,0.0,21.0
M0000076,D0000076,C0043008,R002,20250121,Cancelled,1,0.0,
M0000077,D0000077,C0081170,R004,20261218,Held,0,1.0,4.0
M0000078,D0000078,C0013242,R003,20250205,Cancelled,1,0.0,
M0000079,D0000079,C0087886,R010,20261030,Held,0,1.0,2.0
M0000080,D0000080,C0045110,R001,20260629,Held,0,0.0,23.0
M0000081,D0000081,C0070553,R010,20241119,Held,0,1.0,12.0
M0000082,D0000082,C0049303,R001,20241025,Held,0,0.0,33.0
M0000083,D0000083,C0073469,R001,20250508,Cancelled,1,0.0,
M0000084,D0000084,C0069049,R003,20241207,Held,0,1.0,6.0
M0000085,D0000085,C0021345,R012,20260324,Cancelled,1,0.0,
M0000086,D0000086,C0024713,R010,20241114,Cancelled,1,1.0,
M0000087,D0000087,C0066484,R001,20240501,Held,0,1.0,23.0
M0000088,D0000088,C0020383,R007,20260709,Held,0,1.0,24.0
M0000089,D0000089,C0058068,R015,20250305,Cancelled,1,1.0,
M0000090,D0000090,C0025138,R008,20251008,Cancelled,1,0.0,
M0000091,D0000091,C0097573,R014,20251128,Cancelled,1,0.0,
M0000092,D0000092,C0013250,R015,20240409,Cancelled,1,1.0,
M0000093,D0000093,C0061317,R012,20250606,Held,0,0.0,10.0
M0000094,D0000094,C0017252,R002,20260516,Held,0,1.0,13.0
M0000095,D0000095,C0069072,R007,20250814,Cancelled,1,0.0,
M0000096,D0000096,C0082021,R014,20241105,Held,0,0.0,4.0
M0000097,D0000097,C0073383,R009,20260522,Cancelled,1,0.0,
M0000098,D0000098,C0005301,R001,20260407,Held,0,1.0,18.0
M0000099,D0000099,C0051035,R004,20240118,Cancelled,1,1.0,
M0000100,D0000100,C0016017,R013,20260430,Held,0,1.0,15.0
M0000101,D0000101,C0096492,R009,20251212,Cancelled,1,1.0,
M0000102,D0000102,C0095959,R006,20260129,Held,0,0.0,2.0
M0000103,D0000103,C0008019,R014,20260704,Held,0,1.0,2.0
M0000104,D0000104,C0085107,R014,20250611,Held,0,0.0,3.0
M0000105,D0000105,C0031986,R003,20250320,Cancelled,1,1.0,
M0000106,D0000106,C0045316,R003,20261003,Held,0,1.0,11.0
M0000107,D0000107,C0086444,R012,20260123,Held,0,1.0,8.0
M0000108,D0000108,C0083540,R011,20250902,Held,0,1.0,19.0
M0000109,D0000109,C0093264,R007,20250626,Held,0,0.0,20.0
M0000110,D0000110,C0101839,R012,20241031,Cancelled,1,1.0,
M0000111,D0000111,C0072788,R003,20240412,Held,0,1.0,23.0
M0000112,D0000112,C0010343,R011,20240410,Cancelled,1,0.0,
M0000113,D0000113,C0083967,R008,20260723,Cancelled,1,0.0,
M0000114,D0000114,C0082200,R001,20240309,Cancelled,1,1.0,
M0000115,D0000115,C0046464,R010,20260312,Held,0,1.0,19.0
M0000116,D0000116,C0016201,R004,20240411,Held,0,0.0,24.0
M0000117,D0000117,C0012283,R014,20250205,Held,0,1.0,29.0
M0000118,D0000118,C0031666,R011,20261203,Held,0,0.0,23.0
M0000119,D0000119,C0089998,R011,20260502,Held,0,1.0,14.0
M0000120,D0000120,C0051733,R002,20250613,Cancelled,1,1.0,
M0000121,D0000121,C0066827,R004,20261204,Held,0,0.0,16.0
M0000122,D0000122,C0050135,R006,20250222,Held,0,1.0,5.0
M0000123,D0000123,C0045013,R011,20250910,Held,0,0.0,6.0
M0000124,D0000124,C0060518,R004,20250827,Cancelled,1,0.0,
M0000125,D0000125,C0003136,R008,20250211,Held,0,0.0,31.0
M0000126,D0000126,C0085122,R008,20240629,Held,0,1.0,19.0
M0000127,D0000127,C0000745,R005,20251218,Held,0,0.0,6.0
M0000128,D0000128,C0020239,R002,20251104,Cancelled,1,0.0,
M0000129,D0000129,C0009845,R009,20240830,Cancelled,1,1.0,
M0000130,D0000130,C0055082,R013,20250301,Cancelled,1,1.0,
M0000131,D0000131,C0046855,R014,20261102,Cancelled,1,0.0,
M0000132,D0000132,C0022856,R012,20261021,Held,0,1.0,9.0
M0000133,D0000133,C0098681,R015,20250823,Cancelled,1,1.0,
M0000134,D0000134,C0061869,R007,20260825,Held,0,0.0,12.0
M0000135,D0000135,C0029709,R014,20260212,Held,0,1.0,17.0
M0000136,D0000136,C0018675,R007,20240207,Cancelled,1,1.0,
M0000137,D0000137,C0093777,R015,20240916,Held,0,0.0,26.0
M0000138,D0000138,C0013264,R007,20240209,Cancelled,1,1.0,
M0000139,D0000139,C0023040,R013,20240306,Held,0,0.0,10.0
M0000140,D0000140,C0080032,R007,20250918,Held,0,1.0,22.0
M0000141,D0000141,C0043739,R005,20241205,Cancelled,1,1.0,
M0000142,D0000142,C0062270,R008,20241129,Held,0,1.0,14.0
M0000143,D0000143,C0003798,R003,20250204,Held,0,0.0,6.0
M0000144,D0000144,C0023118,R013,20250604,Held,0,1.0,5.0
M0000145,D0000145,C0003451,R011,20260703,Held,0,1.0,26.0
M0000146,D0000146,C0053993,R008,20260808,Cancelled,1,1.0,
M0000147,D0000147,C0006370,R006,20250517,Held,0,1.0,30.0
M0000148,D0000148,C0074935,R003,20260702,Held,0,0.0,14.0
M0000149,D0000149,C0074235,R013,20240704,Held,0,0.0,14.0
M0000150,D0000150,C0067138,R007,20250530,Cancelled,1,0.0,
M0000151,D0000151,C0008350,R004,20240904,Held,0,1.0,5.0
M0000152,D0000152,C0097015,R012,20250318,Held,0,0.0,4.0
M0000153,D0000153,C0032743,R014,20260723,Held,0,1.0,24.0
M0000154,D0000154,C0098280,R011,20250425,Held,0,0.0,20.0
M0000155,D0000155,C0099703,R011,20260729,Cancelled,1,1.0,
M0000156,D0000156,C0002572,R008,20260515,Cancelled,1,0.0,
M0000157,D0000157,C0031016,R014,20260715,Cancelled,1,0.0,
M0000158,D0000158,C0038343,R004,20261116,Held,0,0.0,20.0
M0000159,D0000159,C0031445,R012,20250304,Held,0,1.0,2.0
M0000160,D0000160,C0100133,R004,20251007,Cancelled,1,0.0,
M0000161,D0000161,C0008936,R005,20250605,Held,0,0.0,2.0
M0000162,D0000162,C0084653,R009,20240314,Held,0,0.0,20.0
M0000163,D0000163,C0014568,R002,20240408,Held,0,0.0,13.0
M0000164,D0000164,C0079934,R009,20260102,Held,0,1.0,11.0
M0000165,D0000165,C0099283,R005,20250515,Held,0,0.0,10.0
M0000166,D0000166,C0087180,R011,20250604,Cancelled,1,0.0,
M0000167,D0000167,C0008065,R005,20241118,Cancelled,1,0.0,
M0000168,D0000168,C0094246,R011,20260911,Held,0,0.0,17.0
M0000169,D0000169,C0025927,R011,20260421,Held,0,1.0,27.0
M0000170,D0000170,C0087355,R002,20240515,Cancelled,1,1.0,
M0000171,D0000171,C0060565,R008,20240514,Held,0,0.0,10.0
M0000172,D0000172,C0099779,R002,20260703,Cancelled,1,1.0,
M0000173,D0000173,C0081517,R002,20250103,Held,0,1.0,11.0
M0000174,D0000174,C0051529,R003,20250113,Cancelled,1,0.0,
M0000175,D0000175,C0058972,R013,20260430,Held,0,0.0,21.0
M0000176,D0000176,C0004653,R008,20260907,Cancelled,1,0.0,
M0000177,D0000177,C0022791,R005,20250711,Held,0,0.0,3.0
M0000178,D0000178,C0050142,R011,20250322,Cancelled,1,1.0,
M0000179,D0000179,C0039521,R002,20260402,Held,0,0.0,5.0
M0000180,D0000180,C0009281,R008,20250211,Held,0,0.0,23.0
M0000181,D0000181,C0031672,R001,20240223,Held,0,1.0,13.0
M0000182,D0000182,C0085270,R013,20250526,Held,0,0.0,14.0
M0000183,D0000183,C0030750,R015,20250115,Cancelled,1,1.0,
M0000184,D0000184,C0098760,R005,20260324,Held,0,1.0,19.0
M0000185,D0000185,C0046139,R009,20260401,Cancelled,1,0.0,
M0000186,D0000186,C0089818,R001,20250411,Held,0,1.0,1.0
M0000187,D0000187,C0026515,R015,20240207,Cancelled,1,0.0,
M0000188,D0000188,C0019361,R011,20241114,Held,0,1.0,30.0
M0000189,D0000189,C0019156,R008,20250206,Cancelled,1,1.0,
M0000190,D0000190,C0083459,R009,20240101,Held,0,0.0,29.0
M0000191,D0000191,C0086483,R007,20260417,Held,0,0.0,32.0
M0000192,D0000192,C0025068,R007,20260704,Held,0,1.0,23.0
M0000193,D0000193,C0061405,R004,20250328,Held,0,1.0,18.0
M0000194,D0000194,C0088466,R003,20250808,Held,0,1.0,16.0
M0000195,D0000195,C0032635,R007,20251226,Cancelled,1,1.0,
M0000196,D0000196,C0024807,R015,20241107,Held,0,0.0,10.0
M0000197,D0000197,C0072620,R006,20240618,Held,0,1.0,27.0
M0000198,D0000198,C0071455,R008,20251029,Cancelled,1,1.0,
M0000199,D0000199,C0099513,R011,20250408,Held,0,0.0,8.0
M0000200,D0000200,C0080097,R011,20240515,Cancelled,1,0.0,
M0000201,D0000201,C0021738,R014,20250705,Held,0,1.0,11.0
M0000202,D0000202,C0053475,R015,20250905,Held,0,1.0,9.0
M0000203,D0000203,C0044328,R011,20240803,Held,0,1.0,15.0
M0000204,D0000204,C0055692,R009,20260310,Cancelled,1,0.0,
M0000205,D0000205,C0026776,R003,20241218,Held,0,1.0,3.0
M0000206,D0000206,C0089208,R005,20240217,Held,0,1.0,4.0
M0000207,D0000207,C0032522,R008,20260506,Held,0,0.0,27.0
M0000208,D0000208,C0025052,R001,20240810,Held,0,1.0,4.0
M0000209,D0000209,C0056568,R009,20250521,Cancelled,1,1.0,
M0000210,D0000210,C0023854,R013,20261126,Cancelled,1,1.0,
M0000211,D0000211,C0008126,R015,20240507,Held,0,0.0,8.0
M0000212,D0000212,C0056843,R014,20260702,Held,0,1.0,5.0
M0000213,D0000213,C0084689,R011,20250617,Cancelled,1,1.0,
M0000214,D0000214,C0075687,R014,20260317,Held,0,0.0,4.0
M0000215,D0000215,C0078416,R015,20250412,Held,0,1.0,10.0
M0000216,D0000216,C0078967,R005,20260530,Held,0,1.0,21.0
M0000217,D0000217,C0054666,R007,20240910,Held,0,0.0,11.0
M0000218,D0000218,C0085886,R002,20261006,Held,0,0.0,6.0
M0000219,D0000219,C0025333,R003,20261114,Held,0,1.0,14.0
M0000220,D0000220,C0011349,R001,20261218,Cancelled,1,1.0,
M0000221,D0000221,C0094403,R001,20250408,Held,0,0.0,4.0
M0000222,D0000222,C0006314,R015,20260725,Cancelled,1,1.0,
M0000223,D0000223,C0014735,R011,20260910,Held,0,0.0,10.0
M0000224,D0000224,C0054366,R012,20240503,Held,0,0.0,28.0
M0000225,D0000225,C0053851,R013,20250707,Held,0,0.0,21.0
M0000226,D0000226,C0067636,R002,20240320,Held,0,1.0,12.0
M0000227,D0000227,C0007065,R001,20240105,Cancelled,1,0.0,
M0000228,D0000228,C0042480,R006,20240423,Held,0,1.0,6.0
M0000229,D0000229,C0076109,R009,20250522,Held,0,0.0,15.0
M0000230,D0000230,C0073615,R015,20251118,Held,0,1.0,13.0
M0000231,D0000231,C0067924,R012,20250603,Cancelled,1,1.0,
M0000232,D0000232,C0065716,R004,20240306,Held,0,1.0,23.0
M0000233,D0000233,C0003351,R008,20250923,Cancelled,1,0.0,
M0000234,D0000234,C0014520,R004,20251122,Held,0,1.0,24.0
M0000235,D0000235,C0101309,R008,20240730,Cancelled,1,0.0,
M0000236,D0000236,C0033101,R001,20250101,Held,0,0.0,10.0
M0000237,D0000237,C0054152,R003,20260808,Held,0,1.0,29.0
M0000238,D0000238,C0056965,R004,20250117,Cancelled,1,0.0,
M0000239,D0000239,C0098436,R008,20240703,Held,0,1.0,4.0
M0000240,D0000240,C0052123,R003,20250120,Held,0,0.0,13.0
M0000241,D0000241,C0011081,R011,20260805,Cancelled,1,1.0,
M0000242,D0000242,C0035231,R004,20250215,Held,0,1.0,4.0
M0000243,D0000243,C0095696,R008,20260210,Held,0,0.0,11.0
M0000244,D0000244,C0087492,R007,20240727,Cancelled,1,1.0,
M0000245,D0000245,C0061777,R008,20250220,Cancelled,1,1.0,
M0000246,D0000246,C0038432,R008,20241001,Cancelled,1,1.0,
M0000247,D0000247,C0075910,R011,20260918,Cancelled,1,1.0,
M0000248,D0000248,C0003346,R011,20251218,Held,0,0.0,15.0
M0000249,D0000249,C0031024,R006,20260402,Held,0,1.0,12.0
M0000250,D0000250,C0060018,R004,20260630,Held,0,1.0,8.0
M0000251,D0000251,C0044346,R003,20240102,Held,0,1.0,4.0
M0000252,D0000252,C0059172,R011,20240223,Cancelled,1,0.0,
M0000253,D0000253,C0002874,R008,20251121,Held,0,1.0,6.0
M0000254,D0000254,C0092847,R007,20250814,Cancelled,1,0.0,
M0000255,D0000255,C0049860,R004,20251126,Held,0,0.0,19.0
M0000256,D0000256,C0058157,R005,20241206,Held,0,1.0,25.0
M0000257,D0000257,C0031108,R006,20250805,Cancelled,1,0.0,
M0000258,D0000258,C0075269,R012,20260507,Held,0,0.0,8.0
M0000259,D0000259,C0021147,R011,20240911,Held,0,0.0,5.0
M0000260,D0000260,C0004846,R010,20250429,Cancelled,1,0.0,
M0000261,D0000261,C0027461,R005,20240725,Held,0,1.0,24.0
M0000262,D0000262,C0066903,R013,20240709,Held,0,0.0,11.0
M0000263,D0000263,C0032641,R012,20260228,Cancelled,1,1.0,
M0000264,D0000264,C0002055,R007,20241127,Cancelled,1,0.0,
M0000265,D0000265,C0076864,R013,20260709,Held,0,0.0,15.0
M0000266,D0000266,C0007779,R009,20240528,Held,0,0.0,21.0
M0000267,D0000267,C0071666,R012,20240420,Held,0,1.0,15.0
M0000268,D0000268,C0021922,R012,20250121,Held,0,1.0,16.0
M0000269,D0000269,C0059137,R012,20240615,Held,0,1.0,7.0
M0000270,D0000270,C0063252,R013,20261013,Cancelled,1,0.0,
M0000271,D0000271,C0094709,R002,20240301,Cancelled,1,0.0,
M0000272,D0000272,C0079310,R007,20260318,Cancelled,1,1.0,
M0000273,D0000273,C0089122,R004,20240206,Held,0,1.0,7.0
M0000274,D0000274,C0095048,R003,20260926,Held,0,1.0,18.0
M0000275,D0000275,C0059910,R007,20250905,Cancelled,1,1.0,
M0000276,D0000276,C0026312,R010,20261116,Held,0,0.0,12.0
M0000277,D0000277,C0000563,R008,20251105,Cancelled,1,0.0,
M0000278,D0000278,C0088181,R011,20260407,Held,0,0.0,26.0
M0000279,D0000279,C0030705,R011,20251007,Cancelled,1,0.0,
M0000280,D0000280,C0061629,R009,20260413,Cancelled,1,0.0,
M0000281,D0000281,C0074387,R015,20251014,Held,0,0.0,11.0
M0000282,D0000282,C0002391,R004,20250303,Held,0,0.0,7.0
M0000283,D0000283,C0002006,R003,20251129,Cancelled,1,1.0,
M0000284,D0000284,C0045037,R004,20260819,Cancelled,1,0.0,
M0000285,D0000285,C0010561,R015,20241010,Held,0,1.0,3.0
M0000286,D0000286,C0100937,R012,20250729,Held,0,1.0,20.0
M0000287,D0000287,C0037846,R011,20261209,Cancelled,1,0.0,
M0000288,D0000288,C0052245,R015,20241220,Cancelled,1,0.0,
M0000289,D0000289,C0087369,R006,20251101,Held,0,1.0,10.0
M0000290,D0000290,C0018311,R014,20251230,Held,0,0.0,11.0
M0000291,D0000291,C0065652,R013,20260505,Cancelled,1,1.0,
M0000292,D0000292,C0049119,R008,20261027,Held,0,0.0,22.0
M0000293,D0000293,C0043867,R009,20240808,Held,0,1.0,15.0
M0000294,D0000294,C0076446,R015,20260522,Cancelled,1,0.0,
M0000295,D0000295,C0052734,R011,20250212,Held,0,1.0,12.0
M0000296,D0000296,C0004931,R001,20250624,Cancelled,1,0.0,
M0000297,D0000297,C0043765,R002,20261203,Held,0,0.0,31.0
M0000298,D0000298,C0034079,R011,20251210,Held,0,0.0,18.0
M0000299,D0000299,C0025355,R010,20260514,Held,0,1.0,5.0
M0000300,D0000300,C0034325,R009,20261226,Held,0,1.0,10.0
M0000301,D0000301,C0001578,R015,20240418,Cancelled,1,0.0,
M0000302,D0000302,C0069225,R004,20241024,Held,0,0.0,20.0
M0000303,D0000303,C0043530,R004,20240923,Cancelled,1,0.0,
M0000304,D0000304,C0094256,R002,20250226,Held,0,1.0,5.0
M0000305,D0000305,C0058615,R012,20240920,Held,0,0.0,3.0
M0000306,D0000306,C0033319,R008,20240110,Cancelled,1,0.0,
M0000307,D0000307,C0015610,R007,20260626,Held,0,1.0,2.0
M0000308,D0000308,C0074181,R006,20260123,Held,0,1.0,1.0
M0000309,D0000309,C0081286,R008,20250619,Cancelled,1,0.0,
M0000310,D0000310,C0098072,R015,20240801,Cancelled,1,0.0,
M0000311,D0000311,C0051856,R012,20250213,Held,0,0.0,11.0
M0000312,D0000312,C0007560,R010,20240119,Held,0,1.0,11.0
M0000313,D0000313,C0008761,R005,20240709,Held,0,1.0,10.0
M0000314,D0000314,C0017994,R004,20251201,Cancelled,1,0.0,
M0000315,D0000315,C0021569,R005,20261211,Held,0,1.0,2.0
M0000316,D0000316,C0040101,R007,20261026,Held,0,0.0,39.0
M0000317,D0000317,C0077336,R006,20250904,Held,0,0.0,5.0
M0000318,D0000318,C0098168,R003,20250429,Held,0,0.0,11.0
M0000319,D0000319,C0086634,R013,20250306,Held,0,0.0,8.0
M0000320,D0000320,C0000507,R010,20251219,Cancelled,1,0.0,
M0000321,D0000321,C0031431,R013,20251021,Held,0,1.0,15.0
M0000322,D0000322,C0022553,R012,20260126,Cancelled,1,0.0,
M0000323,D0000323,C0066045,R007,20240704,Held,0,1.0,8.0
M0000324,D0000324,C0074074,R004,20261211,Cancelled,1,0.0,
M0000325,D0000325,C0003144,R002,20251117,Held,0,0.0,17.0
M0000326,D0000326,C0068678,R004,20240628,Held,0,0.0,27.0
M0000327,D0000327,C0032936,R008,20250828,Cancelled,1,1.0,
M0000328,D0000328,C0031699,R015,20240703,Cancelled,1,0.0,
M0000329,D0000329,C0014384,R007,20250515,Held,0,1.0,10.0
M0000330,D0000330,C0014649,R013,20251001,Cancelled,1,1.0,
M0000331,D0000331,C0065365,R012,20251229,Held,0,0.0,13.0
M0000332,D0000332,C0016132,R010,20250919,Held,0,0.0,10.0
M0000333,D0000333,C0051574,R015,20250703,Held,0,0.0,24.0
M0000334,D0000334,C0040941,R005,20260814,Held,0,0.0,11.0
M0000335,D0000335,C0072955,R014,20240307,Held,0,0.0,10.0
M0000336,D0000336,C0042177,R008,20260313,Cancelled,1,0.0,
M0000337,D0000337,C0078927,R014,20260114,Held,0,1.0,6.0
M0000338,D0000338,C0063653,R009,20260610,Cancelled,1,0.0,
M0000339,D0000339,C0062648,R008,20250811,Held,0,0.0,7.0
M0000340,D0000340,C0093604,R012,20260724,Cancelled,1,0.0,
M0000341,D0000341,C0094612,R013,20240105,Cancelled,1,0.0,
M0000342,D0000342,C0041312,R012,20241114,Held,0,1.0,10.0
M0000343,D0000343,C0040770,R014,20240913,Cancelled,1,1.0,
M0000344,D0000344,C0051364,R007,20250101,Cancelled,1,1.0,
M0000345,D0000345,C0009149,R009,20240416,Held,0,0.0,12.0
M0000346,D0000346,C0004051,R003,20250101,Held,0,1.0,10.0
M0000347,D0000347,C0033859,R008,20260730,Held,0,0.0,6.0
M0000348,D0000348,C0086495,R005,20260101,Cancelled,1,1.0,
M0000349,D0000349,C0099453,R006,20241002,Held,0,0.0,9.0
M0000350,D0000350,C0019854,R011,20251217,Held,0,0.0,4.0
M0000351,D0000351,C0046290,R009,20251025,Cancelled,1,1.0,
M0000352,D0000352,C0095333,R001,20260325,Held,0,1.0,14.0
M0000353,D0000353,C0037388,R008,20260416,Held,0,0.0,13.0
M0000354,D0000354,C0020615,R007,20240603,Cancelled,1,0.0,
M0000355,D0000355,C0033050,R014,20260807,Cancelled,1,1.0,
M0000356,D0000356,C0076108,R009,20251029,Cancelled,1,1.0,
M0000357,D0000357,C0018274,R003,20251202,Cancelled,1,1.0,
M0000358,D0000358,C0019194,R008,20260815,Cancelled,1,1.0,
M0000359,D0000359,C0027045,R005,20241026,Held,0,1.0,8.0
M0000360,D0000360,C0072577,R011,20250716,Held,0,0.0,5.0
M0000361,D0000361,C0091184,R009,20250414,Held,0,0.0,18.0
M0000362,D0000362,C0036042,R011,20240118,Cancelled,1,0.0,
M0000363,D0000363,C0034726,R002,20240726,Held,0,1.0,11.0
M0000364,D0000364,C0019452,R005,20250215,Held,0,1.0,23.0
M0000365,D0000365,C0061384,R010,20240914,Held,0,1.0,11.0
M0000366,D0000366,C0028143,R012,20250320,Cancelled,1,1.0,
M0000367,D0000367,C0035489,R014,20260319,Held,0,1.0,23.0
M0000368,D0000368,C0068477,R015,20260603,Cancelled,1,0.0,
M0000369,D0000369,C0018438,R010,20260813,Cancelled,1,1.0,
M0000370,D0000370,C0004142,R012,20260227,Held,0,0.0,4.0
M0000371,D0000371,C0048538,R007,20250605,Held,0,1.0,9.0
M0000372,D0000372,C0055944,R003,20250103,Held,0,0.0,55.0
M0000373,D0000373,C0027353,R010,20251224,Held,0,0.0,3.0
M0000374,D0000374,C0047191,R013,20260909,Cancelled,1,1.0,
M0000375,D0000375,C0042881,R009,20260618,Held,0,1.0,23.0
M0000376,D0000376,C0093411,R013,20240610,Held,0,0.0,1.0
M0000377,D0000377,C0068772,R013,20261229,Cancelled,1,1.0,
M0000378,D0000378,C0095707,R001,20250612,Cancelled,1,1.0,
M0000379,D0000379,C0078760,R006,20260929,Held,0,1.0,11.0
M0000380,D0000380,C0044252,R015,20260304,Held,0,1.0,2.0
M0000381,D0000381,C0005859,R002,20261013,Cancelled,1,1.0,
M0000382,D0000382,C0063390,R009,20251028,Held,0,0.0,12.0
M0000383,D0000383,C0020435,R011,20240613,Cancelled,1,1.0,
M0000384,D0000384,C0037180,R001,20240118,Held,0,0.0,5.0
M0000385,D0000385,C0065495,R014,20260306,Cancelled,1,0.0,
M0000386,D0000386,C0057350,R002,20260116,Cancelled,1,0.0,
M0000387,D0000387,C0060794,R005,20260404,Cancelled,1,1.0,
M0000388,D0000388,C0023337,R008,20240829,Cancelled,1,1.0,
M0000389,D0000389,C0101101,R014,20260504,Held,0,0.0,4.0
M0000390,D0000390,C0083072,R013,20260528,Held,0,0.0,32.0
M0000391,D0000391,C0014391,R009,20260306,Held,0,1.0,6.0
M0000392,D0000392,C0056365,R011,20240606,Held,0,0.0,4.0
M0000393,D0000393,C0071505,R011,20240516,Cancelled,1,1.0,
M0000394,D0000394,C0085916,R001,20250219,Held,0,1.0,10.0
M0000395,D0000395,C0064699,R013,20250616,Cancelled,1,0.0,
M0000396,D0000396,C0070875,R007,20260604,Held,0,0.0,14.0
